ID,PHENOTYPE,SAMPLE_SIZE,METHODOLOGY,PARAMETERS,NO_VARIANTS,FTP_WEBPAGE,NO_NONZERO_VARIANTS,NONZERO_FRACTION
PGS000044,Prostate cancer,153371,Known susceptibility loci (genome-wide significant SNPs),"P-value < 5E-8, top SNP",66,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000044/ScoringFiles/PGS000044.txt.gz,65,0.9848484848484849
PGS000045,Breast cancer,22627,Known susceptibility loci (genome-wide significant SNPs),"p<5x10-8, included indpendent SNPs from fine-mapping studies (p < 10-4)",88,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000045/ScoringFiles/PGS000045.txt.gz,88,1
PGS000046,Estrogen receptor [ER]-positive breast cancer,22627,Known susceptibility loci (genome-wide significant SNPs),"p<5x10-8, included indpendent SNPs from fine-mapping studies (p < 10-4)",87,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000046/ScoringFiles/PGS000046.txt.gz,87,1
PGS000047,Estrogen receptor [ER]-negative breast cancer,22627,Known susceptibility loci (genome-wide significant SNPs),"p<5x10-8, included indpendent SNPs from fine-mapping studies (p < 10-4)",53,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000047/ScoringFiles/PGS000047.txt.gz,53,1
PGS000048,Ovarian cancer,13491,Known susceptibility loci (genome-wide significant SNPs),Most strongly associated variant from each asociated region (p<5x10-8),17,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000048/ScoringFiles/PGS000048.txt.gz,17,1
PGS000049,Prostate Cancer,87040,Known susceptibility loci (genome-wide significant SNPs),Sum of log(ORs),103,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000049/ScoringFiles/PGS000049.txt.gz,103,1
PGS000050,Breast cancer,61693,Genome-wide significant variants,SNPs confirmed to be associated with breast cancer risk in Asian women (p-value < 0.05),44,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000050/ScoringFiles/PGS000050.txt.gz,44,1
PGS000051,Breast Cancer,22627,Hard thresholding,"41 SNPs were identified with P<5xE-08  and additional 26 SNPs were further identified through familiar risk fitted disctribution of z scores in those SNPs that did not have associations reaching genome-wide levels of significance [ refer to Overall contribution to breast cancer susceptibility section of reference 8, Michailidou et al 2014]",67,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000051/ScoringFiles/PGS000051.txt.gz,67,1
PGS000052,Breast cancer,139274,Genome-wide significant variants,p<5x10−8,161,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000052/ScoringFiles/PGS000052.txt.gz,161,1
PGS000053,Alzheimer's disease (late onset),55134,Genome-wide significant variants,P<5x10e-8 in discovery samples,21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000053/ScoringFiles/PGS000053.txt.gz,21,1
PGS000054,Alzheimer's disease (late onset),55134,Genome-wide significant variants,P<5x10e-8 in discovery samples,21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000054/ScoringFiles/PGS000054.txt.gz,21,1
PGS000055,Colorectal cancer,74409,Known susceptibility variants (genome-wide significant SNPs),"Replicated p-values (discovery p-value < 5e-8, replication p-value < 0.05)",76,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000055/ScoringFiles/PGS000055.txt.gz,74,0.9736842105263158
PGS000056,Parkinson Disease,108990,Genome-wide significant variants,NA,23,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000056/ScoringFiles/PGS000056.txt.gz,23,1
PGS000057,Coronary heart disease,502601,Hard thresholding,"Independent variants associated with CHD, with suitable proxies (r2 > 0.8) in the cohorts",57,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000057/ScoringFiles/PGS000057.txt.gz,57,1
PGS000058,Coronary artery disease,1472359,Genome-wide significant variants,Variants with a genome-wide significant associations with CAD in GWAS and exome-wide association studies published as of December 2017,204,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000058/ScoringFiles/PGS000058.txt.gz,204,1
PGS000059,Coronary heart disease,540176,Literature-derived SNP selection,NA,46,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000059/ScoringFiles/PGS000059.txt.gz,46,1
PGS000060,high-density lipoprotein (HDL) cholesterol,99900,Genome-wide significant variants,p < 5e-8,46,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000060/ScoringFiles/PGS000060.txt.gz,46,1
PGS000061,low-density lipoprotein (LDL) cholesterol,95454,Genome-wide significant variants,p < 5e-8,37,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000061/ScoringFiles/PGS000061.txt.gz,37,1
PGS000062,total cholesterol,100184,Genome-wide significant variants,p < 5e-8,52,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000062/ScoringFiles/PGS000062.txt.gz,52,1
PGS000063,triglycerides,96598,Genome-wide significant variants,p < 5e-8,32,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000063/ScoringFiles/PGS000063.txt.gz,32,1
PGS000064,High density lipoprotein (HDL) cholesterol,331368,Established Lipid Loci; independent genome-wide significant variants,"MAF < 0.01, Imputation r2 < 0.8, clumping based on  r2 > 0.1, overlap of SNPs between study cohorts",120,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000064/ScoringFiles/PGS000064.txt.gz,120,1
PGS000065,Low density lipoprotein (LDL) cholesterol,331368,Established Lipid Loci; independent genome-wide significant variants,"MAF < 0.01, Imputation r2 < 0.8, clumping based on  r2 > 0.1, overlap of SNPs between study cohorts",103,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000065/ScoringFiles/PGS000065.txt.gz,103,1
PGS000066,Triglycerides (TG),331368,Established Lipid Loci; independent genome-wide significant variants,"MAF < 0.01, Imputation r2 < 0.8, clumping based on  r2 > 0.1, overlap of SNPs between study cohorts",101,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000066/ScoringFiles/PGS000066.txt.gz,101,1
PGS000067,Prostate cancer,31747,Polygenic Hazard Score,Trend test p-value < 1e-6; selection of SNPs by logistic regresssion; SNP weights determined by Cox proportional hazards regression,54,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000067/ScoringFiles/PGS000067.txt.gz,54,1
PGS000068,Epithelial ovarian cancer,63347,Genome-wide significant variants,P < 5x10-8 in GWAS for any type of EOC,15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000068/ScoringFiles/PGS000068.txt.gz,15,1
PGS000069,Serous epithelial ovarian cancer,54990,Genome-wide significant variants,P < 5x10-8 in GWAS for any type of EOC,15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000069/ScoringFiles/PGS000069.txt.gz,15,1
PGS000070,Lung cancer,54475,"Genomewide-significant SNPs, filtered to be specific to Chinese ancestry individuals",Meta-anlaysis p-value ≤5·0 × 10−8; MAF < 0.01 (in Chinese populations); r2 >= 0.1; Chinese-specific association p-value < 0.00125,19,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000070/ScoringFiles/PGS000070.txt.gz,19,1
PGS000071,Bladder cancer,464396,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000071/ScoringFiles/PGS000071.txt.gz,15,1
PGS000072,Breast cancer,419572,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",187,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000072/ScoringFiles/PGS000072.txt.gz,187,1
PGS000073,Cervical cancer,20405,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000073/ScoringFiles/PGS000073.txt.gz,10,1
PGS000074,Colorectal cancer,377666,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",103,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000074/ScoringFiles/PGS000074.txt.gz,103,1
PGS000075,Endometrial cancer,43054,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",9,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000075/ScoringFiles/PGS000075.txt.gz,9,1
PGS000076,Kidney cancer,42061,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",19,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000076/ScoringFiles/PGS000076.txt.gz,19,1
PGS000077,Lymphocytic leukemia,145871,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",75,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000077/ScoringFiles/PGS000077.txt.gz,75,1
PGS000078,Lung cancer,183537,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",109,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000078/ScoringFiles/PGS000078.txt.gz,109,1
PGS000079,Melanoma,365516,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",24,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000079/ScoringFiles/PGS000079.txt.gz,24,1
PGS000080,Non-Hodgkin's lymphoma,34043,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",19,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000080/ScoringFiles/PGS000080.txt.gz,19,1
PGS000081,Oral cavity and pharyngeal cancers,20000,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",14,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000081/ScoringFiles/PGS000081.txt.gz,14,1
PGS000082,Ovarian cancer,152183,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",36,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000082/ScoringFiles/PGS000082.txt.gz,36,1
PGS000083,Pancreatic cancer,57275,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",22,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000083/ScoringFiles/PGS000083.txt.gz,22,1
PGS000084,Prostate cancer,449626,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",161,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000084/ScoringFiles/PGS000084.txt.gz,161,1
PGS000086,Testicular cancer,56799,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",52,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000086/ScoringFiles/PGS000086.txt.gz,52,1
PGS000087,Thyroid cancer,291738,Genome-wide significant variants,"P < 5e-8, MAF > 1%, biallelic SNPs, LD-thin r2 > 0.3",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000087/ScoringFiles/PGS000087.txt.gz,12,1
PGS000088,Basophil count,404718,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",9121,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000088/ScoringFiles/PGS000088.txt.gz,9121,1
PGS000089,Basophil percentage of white cells,404532,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",5248,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000089/ScoringFiles/PGS000089.txt.gz,5248,1
PGS000090,Eosinophil count,406470,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",22949,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000090/ScoringFiles/PGS000090.txt.gz,22949,1
PGS000091,Eosinophil percentage of white cells,406417,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",24406,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000091/ScoringFiles/PGS000091.txt.gz,24406,1
PGS000092,Hematocrit,408112,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",28214,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000092/ScoringFiles/PGS000092.txt.gz,28214,1
PGS000093,Hemoglobin concentration,407739,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",25090,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000093/ScoringFiles/PGS000093.txt.gz,25090,1
PGS000094,High light scatter reticulocyte count,400334,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",25493,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000094/ScoringFiles/PGS000094.txt.gz,25493,1
PGS000095,High light scatter reticulocyte percentage of red cells,400438,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",21957,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000095/ScoringFiles/PGS000095.txt.gz,21957,1
PGS000096,Immature fraction of reticulocytes,396408,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",17850,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000096/ScoringFiles/PGS000096.txt.gz,17850,1
PGS000097,Lymphocyte count,407277,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",24646,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000097/ScoringFiles/PGS000097.txt.gz,24646,1
PGS000098,Lymphocyte percentage of white cells,407319,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",22363,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000098/ScoringFiles/PGS000098.txt.gz,22363,1
PGS000099,Mean corpuscular hemoglobin,406517,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",27081,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000099/ScoringFiles/PGS000099.txt.gz,27081,1
PGS000100,Mean corpuscular hemoglobin concentration,407850,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",11832,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000100/ScoringFiles/PGS000100.txt.gz,11832,1
PGS000101,Mean corpuscular volume,407157,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",25001,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000101/ScoringFiles/PGS000101.txt.gz,25001,1
PGS000102,Monocyte count,403994,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",28162,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000102/ScoringFiles/PGS000102.txt.gz,28162,1
PGS000103,Monocyte percentage of white cells,403136,Regularized Regression (Elastic Net),"Bi-allelic variants (MAF > 0.01, INFO > 0.4, missingness rate < 0.1) with LD thinning (r2 threshold = 0.5)",22843,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000103/ScoringFiles/PGS000103.txt.gz,22843,1
