PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Leg_fat_free_mass_left,1,1,1,1,0.93,1,0.93,0.95,0.92,0.99,1
Leg_fat_free_mass_right,1,1,1,1,0.89,1,0.89,0.99,0.99,0.82,0.96
Leg_fat_mass_left,1,1,0.74,1,0.88,1,0.88,1,1,1,1
Leg_fat_mass_right,1,1,0.75,1,0.9,1,0.9,0.99,1,1,1
Leg_fat_percentage_left,1,1,0.16,0.97,0.06,0.97,0.06,0.45,0.46,0.71,0.58
Leg_fat_percentage_right,1,1,1,0.96,0.76,0.96,0.76,0.91,0.73,1,1
Leg_predicted_mass_left,1,1,0.97,1,0.51,1,0.51,0.92,0.75,0.98,1
Leg_predicted_mass_right,1,1,1,1,0.9,1,0.9,0.94,0.95,0.75,0.98
Mean_corpuscular_haemoglobin_concentration,1,0.99,0.04,0.97,0.79,0.97,0.79,0.33,0.26,0.42,0.4
Mean_corpuscular_haemoglobin,1,1,0.02,0.93,0.53,0.93,0.53,0.02,0,0,0
Mean_corpuscular_volume,1,1,0.89,0.99,0.42,0.99,0.42,0.49,0.14,0.41,0.4
Mean_sphered_cell_volume,1,1,0.52,1,1,1,1,0.98,0.85,0.8,0.95
Mean_time_to_correctly_identify_matches,1,1,0.88,1,1,1,1,1,1,1,1
Monocyte_count,1,1,0.95,1,0.63,1,0.63,0.46,0.79,0.19,0.82
Neutrophill_count,1,1,0,1,0.83,1,0.83,0.84,0.79,0.79,1
Phosphate,1,1,0.38,1,0.98,1,0.98,1,1,1,0.99
Platelet_count,1,1,0,1,0.96,1,0.96,0.46,0.3,0.02,0.96
Platelet_crit,1,1,0.07,0.99,0.99,0.99,0.99,0.56,0.45,0.69,0.45
Pulse_rate_automated_reading,1,1,1,0.15,0.29,0.15,0.29,0.83,0.96,0.84,0.92
Red_blood_cell_erythrocyte_count,1,1,0.39,0.98,0.75,0.98,0.75,0.97,0.92,0.54,0.49
Red_blood_cell_erythrocyte_distribution_width,1,1,0.39,0.98,0.33,0.98,0.33,0.65,0.71,0.24,0.72
Reticulocyte_count,1,1,0.18,1,0.45,1,0.45,0.76,0.5,0.58,0.83
Reticulocyte_percentage,1,1,0,1,0.58,1,0.58,0.97,0.97,0.95,0.88
SHBG,1,1,0.25,1,0.99,1,0.99,0.02,0.03,0,0.06
Sitting_height,1,1,1,1,0.08,1,0.08,0.25,0.4,0.46,0.43
Speed_of_sound_through_heel_left,1,1,1,1,0.4,1,0.4,0.49,0.65,0.58,0.98
Speed_of_sound_through_heel,1,1,0.29,1,0.96,1,0.97,1,0.91,0.94,0.79
Speed_of_sound_through_heel_right,1,1,0.1,0.77,0.86,0.78,0.86,0.61,0.25,0.56,0.38
Standing_height,1,1,0.45,1,0.75,1,0.75,0.01,0.22,0.13,0.47
Systolic_blood_pressure_automated_reading,1,1,1,1,0.6,1,0.6,0.99,0.99,0.97,0.96
Total_bilirubin,1,1,0.49,0.18,0.17,0.18,0.17,0.98,0.94,0.94,0.89
Total_protein,1,1,1,1,0.47,1,0.47,0.66,0.17,0.12,0.03
Triglycerides,1,1,0,0.54,0.57,0.54,0.57,0.72,0.95,0.31,0.87
Trunk_fat_free_mass,1,1,0.27,0.94,0.42,0.94,0.42,0.8,0.74,0.46,0.3
Trunk_fat_mass,1,1,0.46,0.85,0.68,0.85,0.68,0.7,0.5,1,1
Trunk_fat_percentage,1,1,0,0.14,0.49,0.14,0.49,0.87,0.76,0.51,0.28
Trunk_predicted_mass,1,1,0.36,0.99,0.3,0.99,0.3,0.95,0.89,0.57,0.51
Urate,1,1,0,1,0.51,1,0.51,0.84,0.87,0.52,0.44
Urea,1,1,0.62,0.87,0.63,0.88,0.63,0.38,0.69,0.19,0.17
Waist_circumference,1,1,0,1,0.53,1,0.53,0.97,0.88,0.98,0.98
Weight,1,1,0.31,0.96,0.78,0.96,0.78,0.57,0.34,0.78,0.79
White_blood_cell_leukocyte_count,1,1,1,1,1,1,1,1,1,0.78,0.98
Whole_body_fat_free_mass,1,1,0.02,1,0.06,1,0.06,0.78,0.6,0.78,0.9
Whole_body_fat_mass,1,1,0.54,1,1,1,1,1,1,1,1
Whole_body_water_mass,1,1,0,0.9,0.63,0.9,0.63,0.9,0.71,0.91,0.75
