PHENOTYPE,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN_DELTA_R2
HDL_cholesterol.all_ethnicities.both.original.RAW,0.4200000000000001,0.2,0.57,1
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.RAW,0.23,0.65,0.37,1
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.original.RAW,0.39,0.26,0.6,1
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.RAW,0.2,0.71,0.34,1
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.RAW,0.39,0.23,0.58,1
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.original.RAW,0.36,0.27,0.5,1
Heel_bone_mineral_density_BMD.all_ethnicities.both.original.RAW,0.39,0.27,0.47,1
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.original.RAW,0.25,0.05,0.54,1
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.original.RAW,0.43000000000000005,0.38,0.27,1
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.RAW,0.22,0.83,0.31,1
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.RAW,0.19,0.71,0.33,1
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.original.RAW,0.39,0.27999999999999997,0.57,1
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.RAW,0.39,0.3,0.52,1
High_light_scatter_reticulocyte_count.all_ethnicities.both.original.RAW,0.02,0.24,0.009999999999999998,1
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.original.RAW,0.13000000000000003,0.06000000000000001,0.15,1
Hip_circumference.all_ethnicities.both.original.RAW,0.59,0.69,0.78,1
IGF_1.all_ethnicities.both.original.RAW,0.27999999999999997,0.21000000000000005,0.31,1
Immature_reticulocyte_fraction.all_ethnicities.both.original.RAW,0.7,0.36,0.74,1
Impedance_of_arm_left.all_ethnicities.both.original.RAW,0.65,0.89,0.59,1
Impedance_of_arm_right.all_ethnicities.both.original.RAW,0.55,0.43999999999999995,0.73,1
Impedance_of_leg_left.all_ethnicities.both.original.RAW,0.43000000000000005,0.59,0.62,1
Impedance_of_leg_right.all_ethnicities.both.original.RAW,0.52,0.41,0.82,1
Impedance_of_whole_body.all_ethnicities.both.original.RAW,0.9300000000000002,0.64,0.96,1
LDL_direct.all_ethnicities.both.original.RAW,0.83,0.55,0.95,1
Leg_fat_free_mass_left.all_ethnicities.both.original.RAW,0.96,0.45,1,1
Leg_fat_free_mass_right.all_ethnicities.both.original.RAW,0.9,0.08999999999999998,0.9899999999999999,1
Leg_fat_mass_left.all_ethnicities.both.original.RAW,0.9899999999999999,0.96,0.9700000000000002,1
Leg_fat_mass_right.all_ethnicities.both.original.RAW,0.9899999999999999,0.9099999999999998,0.98,1
Leg_fat_percentage_left.all_ethnicities.both.original.RAW,0.35,0.53,0.29,0.04
Leg_fat_percentage_right.all_ethnicities.both.original.RAW,0.71,0.58,0.61,0.10000000000000002
Leg_predicted_mass_left.all_ethnicities.both.original.RAW,0.9300000000000002,0.41,1,1
Leg_predicted_mass_right.all_ethnicities.both.original.RAW,0.9099999999999998,0.05,0.9899999999999999,0.9899999999999999
Lifetime_number_of_sexual_partners.all_ethnicities.both.original.RAW,0.8,0.35,0.71,0.9
Lipoprotein_A.all_ethnicities.both.original.RAW,0.41,0.52,0.47,1
Lymphocyte_count.all_ethnicities.both.original.RAW,0.89,0.53,0.92,1
Lymphocyte_percentage.all_ethnicities.both.original.RAW,0.9399999999999998,0.53,0.9099999999999998,1
Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.original.RAW,0.85,0.86,0.96,0.9899999999999999
Mean_corpuscular_haemoglobin.all_ethnicities.both.original.RAW,0.9099999999999998,0.82,0.9,1
Mean_corpuscular_volume.all_ethnicities.both.original.RAW,0.19,0.06000000000000001,0.33,1
Mean_platelet_thrombocyte_volume.all_ethnicities.both.original.RAW,0.67,0.27999999999999997,0.8,1
Mean_reticulocyte_volume.all_ethnicities.both.original.RAW,0.57,0.72,0.46,1
Mean_sphered_cell_volume.all_ethnicities.both.original.RAW,0.87,0.37,0.89,1
Mean_time_to_correctly_identify_matches.all_ethnicities.both.original.RAW,0.04,0,0.04,0.9300000000000002
Microalbumin_in_urine.all_ethnicities.both.original.RAW,0.96,0.6,0.98,0.65
Monocyte_count.all_ethnicities.both.original.RAW,0.15,0.5,0.29,1
Monocyte_percentage.all_ethnicities.both.original.RAW,0.06000000000000001,0.06000000000000001,0.07,1
Neuroticism_score.all_ethnicities.both.original.RAW,0.07,0.13000000000000003,0.08,1
Neutrophill_count.all_ethnicities.both.original.RAW,0.04,0.25,0.07,1
Neutrophill_percentage.all_ethnicities.both.original.RAW,0.81,0.98,0.83,1
Nucleated_red_blood_cell_count.all_ethnicities.both.original.RAW,0.9700000000000002,0.81,0.9300000000000002,0.27
Nucleated_red_blood_cell_percentage.all_ethnicities.both.original.RAW,0.9700000000000002,0.81,0.9300000000000002,0.27
Number_of_children_fathered.all_ethnicities.both.original.RAW,0.07,0,0.26,0.85
Number_of_live_births.all_ethnicities.both.original.RAW,0.36,0.55,0.18,1
Number_of_self_reported_cancers.all_ethnicities.both.original.RAW,0.14,0.29,0.19,0.54
Oestradiol.all_ethnicities.both.original.RAW,0.63,0.35,0.81,0.23
Peak_expiratory_flow_PEF.all_ethnicities.both.original.RAW,0.63,1,0.77,1
Phosphate.all_ethnicities.both.original.RAW,0.36,0.5,0.41,1
Platelet_count.all_ethnicities.both.original.RAW,0.11,0.08999999999999998,0.17,1
Platelet_crit.all_ethnicities.both.original.RAW,0.47,0.23,0.69,1
Platelet_distribution_width.all_ethnicities.both.original.RAW,0.79,0.54,0.82,1
Potassium_in_urine.all_ethnicities.both.original.RAW,0.57,0.53,0.74,1
Pulse_rate_automated_reading.all_ethnicities.both.original.RAW,0.75,0.5599999999999999,0.55,1
Red_blood_cell_erythrocyte_count.all_ethnicities.both.original.RAW,0.29,0.62,0.23,1
Red_blood_cell_erythrocyte_distribution_width.all_ethnicities.both.original.RAW,0.25,0.12,0.26,1
Reticulocyte_count.all_ethnicities.both.original.RAW,0.009999999999999998,0.16,0,1
Reticulocyte_percentage.all_ethnicities.both.original.RAW,0.08999999999999998,0.29,0.04,1
Rheumatoid_factor.all_ethnicities.both.original.RAW,0.61,0.36,0.6,1
SHBG.all_ethnicities.both.original.RAW,0.59,0.38,0.57,1
Sitting_height.all_ethnicities.both.original.RAW,0.27,0.4000000000000001,0.19,1
Sleep_duration.all_ethnicities.both.original.RAW,0.92,0.12,0.9700000000000002,1
Sodium_in_urine.all_ethnicities.both.original.RAW,0.45,0.9899999999999999,0.62,1
Speed_of_sound_through_heel_left.all_ethnicities.both.original.RAW,0.33,0.17,0.68,1
Speed_of_sound_through_heel_right.all_ethnicities.both.original.RAW,0.5,0.78,0.53,1
Speed_of_sound_through_heel.all_ethnicities.both.original.RAW,0.33,0.79,0.37,1
Spherical_equivalent.all_ethnicities.both.original.RAW,0.32,0.06000000000000001,0.51,1
Standing_height.all_ethnicities.both.original.RAW,0.4000000000000001,0.04,0.5,1
Systolic_blood_pressure_automated_reading.all_ethnicities.both.original.RAW,0.85,0.77,0.84,1
Testosterone.all_ethnicities.both.original.RAW,0.84,0.95,0.81,0
Total_bilirubin.all_ethnicities.both.original.RAW,0.10000000000000002,0.82,0.06000000000000001,1
Total_protein.all_ethnicities.both.original.RAW,0.08,0.19,0.17,1
Triglycerides.all_ethnicities.both.original.RAW,0.27999999999999997,0.27999999999999997,0.33,1
Trunk_fat_free_mass.all_ethnicities.both.original.RAW,0.9399999999999998,0.32,0.9700000000000002,1
Trunk_fat_mass.all_ethnicities.both.original.RAW,0.89,0.34,0.92,1
Trunk_fat_percentage.all_ethnicities.both.original.RAW,0.78,0.34,0.9099999999999998,1
Trunk_predicted_mass.all_ethnicities.both.original.RAW,0.9099999999999998,0.32,0.96,0.98
Urate.all_ethnicities.both.original.RAW,0.4000000000000001,0.10000000000000002,0.67,1
Urea.all_ethnicities.both.original.RAW,0.32,0.57,0.26,1
Vitamin_D.all_ethnicities.both.original.RAW,0.74,0.92,0.84,1
Waist_circumference.all_ethnicities.both.original.RAW,0.49,0.04,0.65,1
Weight.all_ethnicities.both.original.RAW,0.36,0.18,0.72,1
White_blood_cell_leukocyte_count.all_ethnicities.both.original.RAW,0.36,0.53,0.33,1
Whole_body_fat_free_mass.all_ethnicities.both.original.RAW,0.92,0.25,0.98,0.9899999999999999
Whole_body_fat_mass.all_ethnicities.both.original.RAW,0.9300000000000002,0.63,0.9700000000000002,1
Whole_body_water_mass.all_ethnicities.both.original.RAW,0.9300000000000002,0.35,0.98,0.9899999999999999
