PHENOTYPE,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN_DELTA_R2,MEAN_DELTA_ADJ_R2,MEAN.DELTA_ADJ_R2_POSITIVE
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.96,0,0.67,0.31,0.72,1,1,0.08
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.IRNT,1,0.9899999999999999,0,0.5599999999999999,0.54,0.41,1,1,0.05
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.RAW,1,0.9700000000000002,0,0.38,0.66,0.23,1,1,0.06000000000000001
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9700000000000002,0,0.51,0.76,0.43999999999999995,1,1,0.029999999999999995
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.RAW,1,0.9700000000000002,0,0.39,0.73,0.29,1,1,0.05
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.IRNT,1,0.92,0,0.52,0.8,0.5,1,1,0.07
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.RAW,1,0.9700000000000002,0,0.72,0.58,0.79,1,1,0.05
Alanine_aminotransferase.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.18,0.9099999999999998,0.33,0.67,0.79,0.05
Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.IRNT,0.68,0.14,0,0.9300000000000002,0.39,0.95,1,1,0.58
Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.RAW,0.84,0.10000000000000002,0,0.92,0.46,0.95,1,1,0.02
Alanine_aminotransferase.all_ethnicities.both.original.IRNT,0.95,0.29,0,0.4200000000000001,0.83,0.38,1,1,0.04
Alanine_aminotransferase.all_ethnicities.both.original.RAW,0.95,0.29,0,0.4200000000000001,0.83,0.38,1,1,0.08
Alanine_aminotransferase.all_ethnicities.both.original.with_med_correction.IRNT,0.92,0.32,0,0.5599999999999999,0.35,0.61,1,1,0.07
Alanine_aminotransferase.all_ethnicities.both.original.with_med_correction.RAW,0.92,0.29,0,0.59,0.4000000000000001,0.63,1,1,0.06000000000000001
Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.IRNT,0.75,0.16,0,0.83,0.37,0.87,1,1,0.11
Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.RAW,0.76,0.10000000000000002,0,0.96,0.74,0.9399999999999998,1,1,0.04
Albumin.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.85,0.58,0.81,0.9899999999999999,1,0.10000000000000002
Albumin.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.35,0,0.81,0.78,0.89,1,1,0.05
Albumin.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.46,0,0.81,0.9099999999999998,0.88,1,1,0.04
Albumin.all_ethnicities.both.original.IRNT,1,0.12,0,0.48,0.23,0.89,1,1,0.08
Albumin.all_ethnicities.both.original.RAW,1,0.10000000000000002,0,0.49,0.27,0.87,1,1,0.04
Albumin.all_ethnicities.both.original.with_med_correction.IRNT,1,0.15,0,0.73,0.61,0.98,1,1,0.04
Albumin.all_ethnicities.both.original.with_med_correction.RAW,1,0.14,0,0.73,0.62,0.98,1,1,0.05
Albumin.all_ethnicities.both.static_med_corrected.IRNT,1,0.5,0,0.82,0.59,0.88,1,1,0.06000000000000001
Albumin.all_ethnicities.both.static_med_corrected.RAW,1,0.51,0,0.9,0.4200000000000001,0.96,1,1,0.06000000000000001
Alkaline_phosphatase.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.27,0.59,0.4200000000000001,0.24,0.3,0.08999999999999998
Alkaline_phosphatase.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.9700000000000002,0,0.64,0.89,0.68,1,1,0.59
Alkaline_phosphatase.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.95,0,0.63,0.26,0.68,1,1,0.52
Alkaline_phosphatase.all_ethnicities.both.original.IRNT,0.87,0.9899999999999999,0,0.63,0.83,0.78,1,1,0.07
Alkaline_phosphatase.all_ethnicities.both.original.RAW,0.9,0.9899999999999999,0,0.69,0.83,0.72,1,1,0.04
Alkaline_phosphatase.all_ethnicities.both.original.with_med_correction.IRNT,0.98,0.9899999999999999,0,0.83,0.9399999999999998,0.9,1,1,0.06000000000000001
Alkaline_phosphatase.all_ethnicities.both.original.with_med_correction.RAW,0.98,0.9899999999999999,0,0.81,0.9300000000000002,0.87,1,1,0.05
Alkaline_phosphatase.all_ethnicities.both.static_med_corrected.IRNT,1,0.98,0,0.71,0.79,0.65,1,1,0.6
Alkaline_phosphatase.all_ethnicities.both.static_med_corrected.RAW,1,0.9700000000000002,0,0.86,0.27,0.84,1,1,0.029999999999999995
Ankle_spacing_width_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.06000000000000001,0.29,0.08,0.009999999999999998,0.75,0.05
Ankle_spacing_width_left.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.75,0.38,0.72,1,1,0.58
Ankle_spacing_width_left.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.68,0.41,0.65,1,1,0.58
Ankle_spacing_width_left.all_ethnicities.both.original.IRNT,1,1,1,0.62,0.34,0.85,1,1,0.04
Ankle_spacing_width_left.all_ethnicities.both.original.RAW,1,1,1,0.62,0.37,0.85,1,1,0.02
Ankle_spacing_width_left.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.62,0.34,0.85,1,1,0.04
Ankle_spacing_width_left.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.62,0.37,0.85,1,1,0.02
Ankle_spacing_width_left.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.54,0.2,0.71,1,1,0.55
Ankle_spacing_width_left.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.5,0.32,0.64,1,1,0.52
Ankle_spacing_width_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.07,0.33,0.05,0.009999999999999998,0.73,0.05
Ankle_spacing_width_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.38,0.64,0.6,1,1,0.58
Ankle_spacing_width_right.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.43999999999999995,0.53,0.69,1,1,0.58
Ankle_spacing_width_right.all_ethnicities.both.original.IRNT,1,1,1,0.43000000000000005,0.43000000000000005,0.65,1,1,0.04
Ankle_spacing_width_right.all_ethnicities.both.original.RAW,1,1,1,0.45,0.5,0.66,1,1,0.009999999999999998
Ankle_spacing_width_right.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.43000000000000005,0.43000000000000005,0.65,1,1,0.04
Ankle_spacing_width_right.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.45,0.5,0.66,1,1,0.009999999999999998
Ankle_spacing_width_right.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.51,0.9,0.57,1,1,0.57
Ankle_spacing_width_right.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.54,0.88,0.59,1,1,0.57
Ankle_spacing_width.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.95,0.9,0.98,0.2,0.82,0.06000000000000001
Ankle_spacing_width.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.9300000000000002,1,0.79,0.5599999999999999,0.87,1,1,0.59
Ankle_spacing_width.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.9399999999999998,1,0.81,0.43999999999999995,0.87,1,1,0.62
Ankle_spacing_width.all_ethnicities.both.original.IRNT,1,0.9700000000000002,1,0.92,0.64,0.96,1,1,0.02
Ankle_spacing_width.all_ethnicities.both.original.RAW,1,0.96,1,0.9099999999999998,0.66,0.95,1,1,0.06000000000000001
Ankle_spacing_width.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9700000000000002,1,0.92,0.64,0.96,1,1,0.02
Ankle_spacing_width.all_ethnicities.both.original.with_med_correction.RAW,1,0.96,1,0.9099999999999998,0.66,0.95,1,1,0.06000000000000001
Ankle_spacing_width.all_ethnicities.both.static_med_corrected.IRNT,1,0.9300000000000002,1,0.79,0.5599999999999999,0.87,1,1,0.59
Ankle_spacing_width.all_ethnicities.both.static_med_corrected.RAW,1,0.9399999999999998,1,0.81,0.43999999999999995,0.87,1,1,0.62
Apolipoprotein_A.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.9399999999999998,0.54,0.9899999999999999,0.15,0.76,0.05
Apolipoprotein_A.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.14,0,0.57,0.25,0.67,1,1,0.04
Apolipoprotein_A.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.22,0,0.64,0.47,0.71,1,1,0.06000000000000001
Apolipoprotein_A.all_ethnicities.both.original.IRNT,1,0.27999999999999997,0,0.47,0.08999999999999998,0.5599999999999999,1,1,0.07
Apolipoprotein_A.all_ethnicities.both.original.RAW,1,0.3,0,0.47,0.08,0.54,1,1,0.04
Apolipoprotein_A.all_ethnicities.both.original.with_med_correction.IRNT,1,0.29,0,0.46,0.08999999999999998,0.6,1,1,0.04
Apolipoprotein_A.all_ethnicities.both.original.with_med_correction.RAW,1,0.25,0,0.46,0.10000000000000002,0.5599999999999999,1,1,0.04
Apolipoprotein_A.all_ethnicities.both.static_med_corrected.IRNT,1,0.07,0,0.7,0.45,0.67,1,1,0.06000000000000001
Apolipoprotein_A.all_ethnicities.both.static_med_corrected.RAW,1,0.08999999999999998,0,0.78,0.53,0.74,1,1,0.10000000000000002
Apolipoprotein_B.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.3,0.45,0.5599999999999999,0.43999999999999995,0.58,0.04
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.IRNT,0.78,0.9399999999999998,0,0.9700000000000002,0.41,0.9700000000000002,1,1,0.61
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.RAW,0.75,0.88,0,0.98,0.4000000000000001,0.96,1,1,0.57
Apolipoprotein_B.all_ethnicities.both.original.IRNT,0.9700000000000002,1,0,0.96,0.9399999999999998,0.9399999999999998,1,1,0.08999999999999998
Apolipoprotein_B.all_ethnicities.both.original.RAW,0.9700000000000002,1,0,0.96,0.92,0.9300000000000002,1,1,0.11
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.IRNT,0.84,0.9399999999999998,0,0.76,0.88,0.67,1,1,0.05
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.RAW,0.86,0.9300000000000002,0,0.81,0.9,0.71,1,1,0.07
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.IRNT,0.9700000000000002,0.9700000000000002,0,0.87,0.5,0.82,1,1,0.05
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.RAW,0.96,0.9700000000000002,0,0.92,0.37,0.87,1,1,0.55
Arm_fat_free_mass_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.51,0.41,0.57,0,0.67,0.05
Arm_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT,0.95,0.57,0,0.08999999999999998,0.9700000000000002,0.06000000000000001,1,1,0.66
Arm_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW,0.9899999999999999,0.45,0,0.39,1,0.5599999999999999,1,1,0.7
Arm_fat_free_mass_left.all_ethnicities.both.original.IRNT,1,0.84,0,0.9099999999999998,0.41,0.96,1,1,0.06000000000000001
Arm_fat_free_mass_left.all_ethnicities.both.original.RAW,1,0.92,0,0.98,0.5599999999999999,0.9899999999999999,0.9700000000000002,1,0.07
Arm_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.IRNT,1,0.83,0,0.96,0.38,0.96,1,1,0.06000000000000001
Arm_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.RAW,1,0.92,0,0.98,0.5599999999999999,0.9899999999999999,0.9700000000000002,1,0.08
Arm_fat_free_mass_left.all_ethnicities.both.static_med_corrected.IRNT,0.9700000000000002,0.7,0,0.23,0.92,0.2,1,1,0.65
Arm_fat_free_mass_left.all_ethnicities.both.static_med_corrected.RAW,0.9899999999999999,0.55,0,0.55,1,0.45,1,1,0.77
Arm_fat_free_mass_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.68,0.36,0.81,0,0.61,0.06000000000000001
Arm_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.31,0,0.31,0.32,0.41,1,1,0.72
Arm_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW,0.95,0.38,0,0.27,0.9,0.49,1,1,0.74
Arm_fat_free_mass_right.all_ethnicities.both.original.IRNT,1,0.86,0,0.78,0.51,0.9,1,1,0.05
Arm_fat_free_mass_right.all_ethnicities.both.original.RAW,1,0.82,0,0.9899999999999999,0.65,0.96,0.82,1,0.029999999999999995
Arm_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,1,0.85,0,0.76,0.46,0.9,1,1,0.029999999999999995
Arm_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.RAW,1,0.82,0,0.98,0.62,0.9700000000000002,0.82,1,0.029999999999999995
Arm_fat_free_mass_right.all_ethnicities.both.static_med_corrected.IRNT,1,0.49,0,0.08999999999999998,0.15,0.15,1,1,0.75
Arm_fat_free_mass_right.all_ethnicities.both.static_med_corrected.RAW,0.95,0.54,0,0.43999999999999995,0.4200000000000001,0.53,1,1,0.74
Arm_fat_mass_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.75,0.67,0.8,0.74,0.82,0.07
Arm_fat_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT,0.9899999999999999,0.23,0,0.54,0.54,0.77,1,1,0.53
Arm_fat_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW,0.9899999999999999,0.45,0,0.18,0.10000000000000002,0.43000000000000005,1,1,0.05
Arm_fat_mass_left.all_ethnicities.both.original.IRNT,0.9899999999999999,0.36,0,0.79,0.51,0.75,1,1,0.10000000000000002
Arm_fat_mass_left.all_ethnicities.both.original.RAW,0.9899999999999999,0.36,0,0.8,0.48,0.76,1,1,0.08999999999999998
Arm_fat_mass_left.all_ethnicities.both.original.with_med_correction.IRNT,0.9899999999999999,0.21000000000000005,0,0.83,0.45,0.78,1,1,0.07
Arm_fat_mass_left.all_ethnicities.both.original.with_med_correction.RAW,0.9899999999999999,0.27999999999999997,0,0.84,0.36,0.86,1,1,0.06000000000000001
Arm_fat_mass_left.all_ethnicities.both.static_med_corrected.IRNT,0.9899999999999999,0.5599999999999999,0,0.4200000000000001,0.31,0.55,1,1,0.46
Arm_fat_mass_left.all_ethnicities.both.static_med_corrected.RAW,0.9899999999999999,0.61,0,0.73,0.57,0.77,1,1,0.04
Arm_fat_mass_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.81,0.73,0.75,0.74,0.81,0.07
Arm_fat_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,0.9899999999999999,0.45,0,0.53,0.33,0.69,1,1,0.55
Arm_fat_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW,0.9899999999999999,0.33,0,0.14,0.79,0.15,1,1,0.08999999999999998
Arm_fat_mass_right.all_ethnicities.both.original.IRNT,0.98,0.15,0,0.71,0.8,0.69,1,1,0.07
Arm_fat_mass_right.all_ethnicities.both.original.RAW,0.9700000000000002,0.06000000000000001,0,0.9099999999999998,0.36,0.9399999999999998,1,1,0.08
Arm_fat_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,0.96,0.08,0,0.83,0.8,0.79,1,1,0.04
Arm_fat_mass_right.all_ethnicities.both.original.with_med_correction.RAW,0.9700000000000002,0.08999999999999998,0,0.88,0.38,0.9099999999999998,1,1,0.05
Arm_fat_mass_right.all_ethnicities.both.static_med_corrected.IRNT,0.9899999999999999,0.27999999999999997,0,0.35,0.75,0.58,1,1,0.59
Arm_fat_mass_right.all_ethnicities.both.static_med_corrected.RAW,0.9899999999999999,0.59,0,0.52,0.98,0.59,1,1,0.08
Arm_fat_percentage_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.07,0.02,0.26,0,0.67,0.08
Arm_fat_percentage_left.all_ethnicities.both.dynamic_med_corrected.IRNT,0.98,0.29,0,0.9399999999999998,0.13000000000000003,0.98,1,1,0.47
Arm_fat_percentage_left.all_ethnicities.both.dynamic_med_corrected.RAW,0.98,0.16,0,0.9300000000000002,0.31,0.95,1,1,0.52
Arm_fat_percentage_left.all_ethnicities.both.original.IRNT,0.59,0.029999999999999995,0,0.9300000000000002,0.65,0.9700000000000002,1,1,0.029999999999999995
Arm_fat_percentage_left.all_ethnicities.both.original.RAW,0.58,0.029999999999999995,0,0.95,0.68,0.98,1,1,0.029999999999999995
Arm_fat_percentage_left.all_ethnicities.both.original.with_med_correction.IRNT,0.67,0.05,0,0.87,0.84,0.9099999999999998,1,1,0.05
Arm_fat_percentage_left.all_ethnicities.both.original.with_med_correction.RAW,0.67,0.05,0,0.87,0.84,0.92,1,1,0.029999999999999995
Arm_fat_percentage_left.all_ethnicities.both.static_med_corrected.IRNT,0.98,0.51,0,0.9099999999999998,0.17,0.9899999999999999,1,1,0.47
Arm_fat_percentage_left.all_ethnicities.both.static_med_corrected.RAW,0.98,0.33,0,0.83,0.12,0.92,1,1,0.53
Arm_fat_percentage_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.55,0.27999999999999997,0.61,0,0.73,0.08
Arm_fat_percentage_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.11,0,0.9899999999999999,0.84,0.9399999999999998,1,1,0.52
Arm_fat_percentage_right.all_ethnicities.both.dynamic_med_corrected.RAW,0.9899999999999999,0.07,0,0.9899999999999999,0.36,0.96,1,1,0.54
Arm_fat_percentage_right.all_ethnicities.both.original.IRNT,0.64,0.009999999999999998,0,0.92,0.78,0.9399999999999998,1,1,0.05
Arm_fat_percentage_right.all_ethnicities.both.original.RAW,0.63,0.009999999999999998,0,0.9099999999999998,0.75,0.9399999999999998,1,1,0.07
Arm_fat_percentage_right.all_ethnicities.both.original.with_med_correction.IRNT,0.68,0.009999999999999998,0,0.92,0.5599999999999999,0.9399999999999998,1,1,0.04
Arm_fat_percentage_right.all_ethnicities.both.original.with_med_correction.RAW,0.68,0.009999999999999998,0,0.9399999999999998,0.59,0.96,1,1,0.07
Arm_fat_percentage_right.all_ethnicities.both.static_med_corrected.IRNT,0.9899999999999999,0.52,0,0.74,0.88,0.66,1,1,0.5599999999999999
Arm_fat_percentage_right.all_ethnicities.both.static_med_corrected.RAW,0.98,0.19,0,0.76,0.16,0.89,1,1,0.57
Arm_predicted_mass_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.46,0.4200000000000001,0.48,0,0.69,0.04
Arm_predicted_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.39,0,0.43000000000000005,0.9099999999999998,0.55,1,1,0.65
Arm_predicted_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.37,0,0.6,1,0.74,1,1,0.65
Arm_predicted_mass_left.all_ethnicities.both.original.IRNT,1,0.81,0,0.9700000000000002,0.76,0.9899999999999999,1,1,0.06000000000000001
Arm_predicted_mass_left.all_ethnicities.both.original.RAW,1,0.86,0,0.9700000000000002,0.77,0.9899999999999999,0.95,1,0.04
Arm_predicted_mass_left.all_ethnicities.both.original.with_med_correction.IRNT,1,0.8,0,1,0.76,0.9899999999999999,1,1,0.04
Arm_predicted_mass_left.all_ethnicities.both.original.with_med_correction.RAW,1,0.86,0,0.96,0.77,0.9899999999999999,0.95,1,0.04
Arm_predicted_mass_left.all_ethnicities.both.static_med_corrected.IRNT,0.9899999999999999,0.26,0,0.58,0.9399999999999998,0.66,1,1,0.63
Arm_predicted_mass_left.all_ethnicities.both.static_med_corrected.RAW,0.98,0.22,0,0.52,1,0.58,1,1,0.74
Arm_predicted_mass_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.66,0.26,0.74,0,0.62,0.08
Arm_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.08999999999999998,0,0.12,0.4000000000000001,0.16,1,1,0.7
Arm_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW,0.9899999999999999,0.57,0,0.16,0.57,0.19,1,1,0.77
Arm_predicted_mass_right.all_ethnicities.both.original.IRNT,1,0.9,0,0.96,0.33,0.98,1,1,0.05
Arm_predicted_mass_right.all_ethnicities.both.original.RAW,1,0.85,0,0.9700000000000002,0.61,0.98,0.79,1,0.02
Arm_predicted_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9099999999999998,0,0.9399999999999998,0.4200000000000001,0.9700000000000002,1,1,0.05
Arm_predicted_mass_right.all_ethnicities.both.original.with_med_correction.RAW,1,0.86,0,0.98,0.62,0.98,0.79,1,0.02
Arm_predicted_mass_right.all_ethnicities.both.static_med_corrected.IRNT,1,0.32,0,0.19,0.43999999999999995,0.27,1,1,0.67
Arm_predicted_mass_right.all_ethnicities.both.static_med_corrected.RAW,0.9899999999999999,0.53,0,0.17,0.12,0.25,1,1,0.79
Aspartate_aminotransferase.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.4000000000000001,0.38,0.67,0.39,0.46,0.029999999999999995
Aspartate_aminotransferase.all_ethnicities.both.dynamic_med_corrected.IRNT,0.43000000000000005,0.45,0,0.02,0.12,0,1,1,0.5599999999999999
Aspartate_aminotransferase.all_ethnicities.both.dynamic_med_corrected.RAW,0.4000000000000001,0.5,0,0.22,0.62,0.04,1,1,0.07
Aspartate_aminotransferase.all_ethnicities.both.original.IRNT,0.7,0.69,0,0.04,0.29,0.14,1,1,0.05
Aspartate_aminotransferase.all_ethnicities.both.original.RAW,0.66,0.66,0,0.04,0.12,0.10000000000000002,1,1,0.07
Aspartate_aminotransferase.all_ethnicities.both.original.with_med_correction.IRNT,0.77,0.7,0,0.07,0.27999999999999997,0.19,1,1,0.029999999999999995
Aspartate_aminotransferase.all_ethnicities.both.original.with_med_correction.RAW,0.76,0.71,0,0.08999999999999998,0.27,0.14,1,1,0.05
Aspartate_aminotransferase.all_ethnicities.both.static_med_corrected.IRNT,0.51,0.45,0,0.04,0.25,0.009999999999999998,1,1,0.5599999999999999
Aspartate_aminotransferase.all_ethnicities.both.static_med_corrected.RAW,0.27999999999999997,0.59,0,0.04,0.45,0.009999999999999998,1,1,0.08
Basal_metabolic_rate.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.38,0.78,0.49,0,0.69,0.04
Basal_metabolic_rate.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.4000000000000001,0,0.55,0.79,0.52,1,1,0.74
Basal_metabolic_rate.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.46,0,0.33,0.92,0.34,1,1,0.75
Basal_metabolic_rate.all_ethnicities.both.original.IRNT,1,0.68,0,0.98,0.08999999999999998,1,1,1,0.029999999999999995
Basal_metabolic_rate.all_ethnicities.both.original.RAW,1,0.67,0,0.98,0.10000000000000002,1,1,1,0.08999999999999998
Basal_metabolic_rate.all_ethnicities.both.original.with_med_correction.IRNT,1,0.72,0,0.95,0.05,1,1,1,0.05
Basal_metabolic_rate.all_ethnicities.both.original.with_med_correction.RAW,1,0.76,0,0.96,0.07,1,1,1,0.12
Basal_metabolic_rate.all_ethnicities.both.static_med_corrected.IRNT,1,0.26,0,0.27,0.98,0.48,1,1,0.75
