"PHENOTYPE","SAMPLE_SIZE","COMPLETE_CASES"
"Trunk_fat_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.original.RAW",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,19618
"Trunk_fat_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,478262
"Trunk_fat_percentage.all_ethnicities.both.original.IRNT",487309,478262
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.static_med_corrected.IRNT",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.static_med_corrected.RAW",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.RAW",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.2nd_visit.original.RAW",487309,4374
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.with_med_correction.RAW",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,159199
"Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.IRNT",487309,159199
"Arm_fat_percentage_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.static_med_corrected.RAW",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.original.RAW",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19625
"Arm_fat_percentage_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478447
"Arm_fat_percentage_right.all_ethnicities.both.original.IRNT",487309,478447
"Weight.all_ethnicities.both.static_med_corrected.IRNT",487309,485640
"Weight.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,485640
"Weight.all_ethnicities.both.static_med_corrected.RAW",487309,485640
"Weight.all_ethnicities.both.dynamic_med_corrected.RAW",487309,485640
"Weight.all_ethnicities.both.original.RAW",487309,485640
"Weight.all_ethnicities.both.2nd_visit.original.RAW",487309,20125
"Weight.all_ethnicities.both.original.with_med_correction.RAW",487309,485640
"Weight.all_ethnicities.both.original.with_med_correction.IRNT",487309,485640
"Weight.all_ethnicities.both.original.IRNT",487309,485640
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.static_med_corrected.IRNT",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.static_med_corrected.RAW",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.dynamic_med_corrected.RAW",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.RAW",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.2nd_visit.original.RAW",487309,16497
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.with_med_correction.RAW",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.with_med_correction.IRNT",487309,444009
"Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.IRNT",487309,444009
"Ankle_spacing_width_right.all_ethnicities.both.static_med_corrected.IRNT",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.static_med_corrected.RAW",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.original.RAW",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.2nd_visit.original.RAW",487309,4393
"Ankle_spacing_width_right.all_ethnicities.both.original.with_med_correction.RAW",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,159196
"Ankle_spacing_width_right.all_ethnicities.both.original.IRNT",487309,159196
"Monocyte_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,471553
"Monocyte_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,471553
"Monocyte_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,471553
"Monocyte_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,471553
"Monocyte_percentage.all_ethnicities.both.original.RAW",487309,471553
"Monocyte_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,18261
"Monocyte_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,471553
"Monocyte_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,471553
"Monocyte_percentage.all_ethnicities.both.original.IRNT",487309,471553
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.static_med_corrected.IRNT",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.static_med_corrected.RAW",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.RAW",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.2nd_visit.original.RAW",487309,4374
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.with_med_correction.RAW",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,159199
"Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.IRNT",487309,159199
"Platelet_count.all_ethnicities.both.static_med_corrected.IRNT",487309,472419
"Platelet_count.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,472419
"Platelet_count.all_ethnicities.both.static_med_corrected.RAW",487309,472419
"Platelet_count.all_ethnicities.both.dynamic_med_corrected.RAW",487309,472419
"Platelet_count.all_ethnicities.both.original.RAW",487309,472419
"Platelet_count.all_ethnicities.both.2nd_visit.original.RAW",487309,18290
"Platelet_count.all_ethnicities.both.original.with_med_correction.RAW",487309,472419
"Platelet_count.all_ethnicities.both.original.with_med_correction.IRNT",487309,472419
"Platelet_count.all_ethnicities.both.original.IRNT",487309,472419
"Impedance_of_arm_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.static_med_corrected.RAW",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.original.RAW",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19625
"Impedance_of_arm_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478491
"Impedance_of_arm_right.all_ethnicities.both.original.IRNT",487309,478491
"Total_protein.all_ethnicities.both.static_med_corrected.IRNT",487309,424812
"Total_protein.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,424812
"Total_protein.all_ethnicities.both.static_med_corrected.RAW",487309,424812
"Total_protein.all_ethnicities.both.dynamic_med_corrected.RAW",487309,424812
"Total_protein.all_ethnicities.both.original.RAW",487309,424812
"Total_protein.all_ethnicities.both.2nd_visit.original.RAW",487309,13350
"Total_protein.all_ethnicities.both.original.with_med_correction.RAW",487309,424812
"Total_protein.all_ethnicities.both.original.with_med_correction.IRNT",487309,424812
"Total_protein.all_ethnicities.both.original.IRNT",487309,424812
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.static_med_corrected.IRNT",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.static_med_corrected.RAW",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.dynamic_med_corrected.RAW",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.RAW",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.2nd_visit.original.RAW",487309,12807
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.with_med_correction.RAW",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.with_med_correction.IRNT",487309,462959
"Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.IRNT",487309,462959
"Arm_predicted_mass_left.all_ethnicities.both.static_med_corrected.IRNT",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.static_med_corrected.RAW",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.original.RAW",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.2nd_visit.original.RAW",487309,19621
"Arm_predicted_mass_left.all_ethnicities.both.original.with_med_correction.RAW",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,478305
"Arm_predicted_mass_left.all_ethnicities.both.original.IRNT",487309,478305
"Impedance_of_leg_left.all_ethnicities.both.static_med_corrected.IRNT",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.static_med_corrected.RAW",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.original.RAW",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Impedance_of_leg_left.all_ethnicities.both.original.with_med_correction.RAW",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,478523
"Impedance_of_leg_left.all_ethnicities.both.original.IRNT",487309,478523
"Reticulocyte_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.original.RAW",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,18005
"Reticulocyte_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,464458
"Reticulocyte_percentage.all_ethnicities.both.original.IRNT",487309,464458
"Number_of_children_fathered.all_ethnicities.both.static_med_corrected.IRNT",487309,222620
"Number_of_children_fathered.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,222620
"Number_of_children_fathered.all_ethnicities.both.static_med_corrected.RAW",487309,222620
"Number_of_children_fathered.all_ethnicities.both.dynamic_med_corrected.RAW",487309,222620
"Number_of_children_fathered.all_ethnicities.both.original.RAW",487309,222620
"Number_of_children_fathered.all_ethnicities.both.2nd_visit.original.RAW",487309,9655
"Number_of_children_fathered.all_ethnicities.both.original.with_med_correction.RAW",487309,222620
"Number_of_children_fathered.all_ethnicities.both.original.with_med_correction.IRNT",487309,222620
"Number_of_children_fathered.all_ethnicities.both.original.IRNT",487309,222620
"Pulse_rate_automated_reading.all_ethnicities.both.static_med_corrected.IRNT",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.static_med_corrected.RAW",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.dynamic_med_corrected.RAW",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.original.RAW",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.2nd_visit.original.RAW",487309,19218
"Pulse_rate_automated_reading.all_ethnicities.both.original.with_med_correction.RAW",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.original.with_med_correction.IRNT",487309,456154
"Pulse_rate_automated_reading.all_ethnicities.both.original.IRNT",487309,456154
"Impedance_of_arm_left.all_ethnicities.both.static_med_corrected.IRNT",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.static_med_corrected.RAW",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.original.RAW",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Impedance_of_arm_left.all_ethnicities.both.original.with_med_correction.RAW",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,478516
"Impedance_of_arm_left.all_ethnicities.both.original.IRNT",487309,478516
"Lifetime_number_of_sexual_partners.all_ethnicities.both.static_med_corrected.IRNT",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.static_med_corrected.RAW",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.dynamic_med_corrected.RAW",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.original.RAW",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.2nd_visit.original.RAW",487309,18012
"Lifetime_number_of_sexual_partners.all_ethnicities.both.original.with_med_correction.RAW",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.original.with_med_correction.IRNT",487309,438302
"Lifetime_number_of_sexual_partners.all_ethnicities.both.original.IRNT",487309,438302
"Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.IRNT",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.RAW",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.original.RAW",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.2nd_visit.original.RAW",487309,6891
"Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.RAW",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.IRNT",487309,179098
"Age_at_first_live_birth.all_ethnicities.both.original.IRNT",487309,179098
"Leg_fat_free_mass_left.all_ethnicities.both.static_med_corrected.IRNT",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.static_med_corrected.RAW",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.original.RAW",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.2nd_visit.original.RAW",487309,19625
"Leg_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.RAW",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,478465
"Leg_fat_free_mass_left.all_ethnicities.both.original.IRNT",487309,478465
"Hand_grip_strength_right.all_ethnicities.both.static_med_corrected.IRNT",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.static_med_corrected.RAW",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.original.RAW",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.2nd_visit.original.RAW",487309,20014
"Hand_grip_strength_right.all_ethnicities.both.original.with_med_correction.RAW",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,485089
"Hand_grip_strength_right.all_ethnicities.both.original.IRNT",487309,485089
"Number_of_self_reported_cancers.all_ethnicities.both.static_med_corrected.IRNT",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.static_med_corrected.RAW",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.dynamic_med_corrected.RAW",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.original.RAW",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.2nd_visit.original.RAW",487309,20185
"Number_of_self_reported_cancers.all_ethnicities.both.original.with_med_correction.RAW",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.original.with_med_correction.IRNT",487309,487164
"Number_of_self_reported_cancers.all_ethnicities.both.original.IRNT",487309,487164
"Lipoprotein_A.all_ethnicities.both.static_med_corrected.IRNT",487309,371471
"Lipoprotein_A.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,371471
"Lipoprotein_A.all_ethnicities.both.static_med_corrected.RAW",487309,371471
"Lipoprotein_A.all_ethnicities.both.dynamic_med_corrected.RAW",487309,371471
"Lipoprotein_A.all_ethnicities.both.original.RAW",487309,371471
"Lipoprotein_A.all_ethnicities.both.2nd_visit.original.RAW",487309,12141
"Lipoprotein_A.all_ethnicities.both.original.with_med_correction.RAW",487309,371471
"Lipoprotein_A.all_ethnicities.both.original.with_med_correction.IRNT",487309,371471
"Lipoprotein_A.all_ethnicities.both.original.IRNT",487309,371471
"Peak_expiratory_flow_PEF.all_ethnicities.both.static_med_corrected.IRNT",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.static_med_corrected.RAW",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.dynamic_med_corrected.RAW",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.original.RAW",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.2nd_visit.original.RAW",487309,16497
"Peak_expiratory_flow_PEF.all_ethnicities.both.original.with_med_correction.RAW",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.original.with_med_correction.IRNT",487309,444009
"Peak_expiratory_flow_PEF.all_ethnicities.both.original.IRNT",487309,444009
"Speed_of_sound_through_heel_left.all_ethnicities.both.static_med_corrected.IRNT",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.static_med_corrected.RAW",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.original.RAW",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.2nd_visit.original.RAW",487309,4374
"Speed_of_sound_through_heel_left.all_ethnicities.both.original.with_med_correction.RAW",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,159199
"Speed_of_sound_through_heel_left.all_ethnicities.both.original.IRNT",487309,159199
"Total_bilirubin.all_ethnicities.both.static_med_corrected.IRNT",487309,462447
"Total_bilirubin.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,462447
"Total_bilirubin.all_ethnicities.both.static_med_corrected.RAW",487309,462447
"Total_bilirubin.all_ethnicities.both.dynamic_med_corrected.RAW",487309,462447
"Total_bilirubin.all_ethnicities.both.original.RAW",487309,462447
"Total_bilirubin.all_ethnicities.both.2nd_visit.original.RAW",487309,16371
"Total_bilirubin.all_ethnicities.both.original.with_med_correction.RAW",487309,462447
"Total_bilirubin.all_ethnicities.both.original.with_med_correction.IRNT",487309,462447
"Total_bilirubin.all_ethnicities.both.original.IRNT",487309,462447
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.static_med_corrected.IRNT",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.static_med_corrected.RAW",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.RAW",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.2nd_visit.original.RAW",487309,4393
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.with_med_correction.RAW",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,159184
"Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.IRNT",487309,159184
"Glucose.all_ethnicities.both.static_med_corrected.IRNT",487309,424773
"Glucose.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,424773
"Glucose.all_ethnicities.both.static_med_corrected.RAW",487309,424773
"Glucose.all_ethnicities.both.dynamic_med_corrected.RAW",487309,424773
"Glucose.all_ethnicities.both.original.RAW",487309,424773
"Glucose.all_ethnicities.both.2nd_visit.original.RAW",487309,13341
"Glucose.all_ethnicities.both.original.with_med_correction.RAW",487309,424773
"Glucose.all_ethnicities.both.original.with_med_correction.IRNT",487309,424773
"Glucose.all_ethnicities.both.original.IRNT",487309,424773
"Leg_fat_percentage_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.static_med_corrected.RAW",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.original.RAW",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Leg_fat_percentage_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478521
"Leg_fat_percentage_right.all_ethnicities.both.original.IRNT",487309,478521
"Leg_fat_free_mass_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.static_med_corrected.RAW",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.original.RAW",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Leg_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478500
"Leg_fat_free_mass_right.all_ethnicities.both.original.IRNT",487309,478500
"Haematocrit_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,472422
"Haematocrit_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,472422
"Haematocrit_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,472422
"Haematocrit_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,472422
"Haematocrit_percentage.all_ethnicities.both.original.RAW",487309,472422
"Haematocrit_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,18290
"Haematocrit_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,472422
