PHENOTYPE,EVEN_COS_SIM,EVEN_PEARSON,MAX_ABS_BETAS,BETA_PVALUE,MEAN.DELTA.R2,R2_PVALUE
Age_at_last_live_birth.all_ethnicities.both.original.with_med_correction.RAW,3.250188928458558,3.1997833403519707,4.4938940561261e-4,0.0198019801980198,8.005968322441492e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.static_med_corrected.IRNT,3.043371122308788,3.0666502159726674,4.9839117245254e-4,0.0099009900990099,7.207001414077544e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.static_med_corrected.RAW,2.867297793561133,2.8866618970721993,4.985387041126e-4,0.0099009900990099,7.014973867911353e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.2nd_visit.original.RAW,2.917069002719529,3.2392522367581416,4.1891777190793e-4,0.0099009900990099,5.13459110199968e-5,0.7128712871287128
Age_first_had_sexual_intercourse.all_ethnicities.both.dynamic_med_corrected.IRNT,2.8713570198514233,2.7603692976527374,4.9541566101952e-4,0.1782178217821782,3.2626495046898515e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.dynamic_med_corrected.RAW,2.9208838396041137,2.7925398512541446,4.9501781192675e-4,0.22772277227722773,2.423784901757812e-6,0.2376237623762376
Age_first_had_sexual_intercourse.all_ethnicities.both.original.IRNT,3.2051347461319684,3.204732666608495,4.9551644721111e-4,0.06930693069306931,4.04067669500241e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.original.RAW,2.957044427857699,3.0564087362563024,4.510617580085e-4,0.1188118811881188,2.8534297797123964e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.original.with_med_correction.IRNT,3.2051347461319684,3.204732666608495,4.9551644721111e-4,0.06930693069306931,4.04067669500241e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.original.with_med_correction.RAW,2.957044427857699,3.0564087362563024,4.510617580085e-4,0.1188118811881188,2.8534297797123964e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.static_med_corrected.IRNT,2.569638179731346,2.75890377359619,4.9529101236047e-4,0.19801980198019803,3.2315981809538665e-6,0.009900990099009901
Age_first_had_sexual_intercourse.all_ethnicities.both.static_med_corrected.RAW,2.9128686928684218,2.9305100125991004,4.9495532446861e-4,0.27722772277227725,2.411148940517281e-6,0.25742574257425743
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.2nd_visit.original.RAW,2.90070880012739,3.215561759688532,4.9964956972509e-4,0.0099009900990099,5.481583782655439e-5,0.6633663366336634
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.IRNT,2.8001168229602675,2.8336175093243776,4.9601169679006e-4,0.0297029702970297,2.9920333804198466e-6,0.019801980198019802
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.RAW,2.90862824338458,2.9044059191674085,4.9583821042725e-4,0.04950495049504951,3.4518917862213123e-6,0.009900990099009901
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.IRNT,3.199547217495302,3.199526930422548,4.9610862786948e-4,0.0198019801980198,3.0666450555189018e-6,0.009900990099009901
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.RAW,3.187235025626947,3.1968268127263455,4.8252288156103e-4,0.0396039603960396,3.641133282238085e-6,0.009900990099009901
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.IRNT,3.1830945602667544,3.1830729585718496,4.9577195858897e-4,0.0396039603960396,3.099316413582298e-6,0.009900990099009901
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.RAW,3.184110653016064,3.1923789985926603,4.820877969679e-4,0.0396039603960396,3.652542361697042e-6,0.009900990099009901
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.IRNT,2.81382207421237,2.7608281509749695,4.9567989690465e-4,0.0891089108910891,2.9848445241661243e-6,0.009900990099009901
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.RAW,3.0866654110846468,2.987481218528291,4.9594278352842e-4,0.0396039603960396,3.4573146334354515e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.2nd_visit.original.RAW,2.881556862137466,3.4680935052334143,5.1159735217992e-4,0.0099009900990099,6.122745188988366e-5,0.33663366336633666
Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.IRNT,2.6235019104134527,2.5811187349486646,4.9386921914236e-4,0.8613861386138614,5.670259403074838e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.RAW,2.8041932012726183,2.700501691728518,4.9364604088547e-4,0.900990099009901,4.126548743538764e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.original.IRNT,3.3081765717485414,3.308145253146169,4.9407225849372e-4,0.7128712871287128,5.029470835665739e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.original.RAW,3.2868479698770647,3.244747071208631,4.939403000894e-4,0.7128712871287128,3.9370003284411315e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.original.with_med_correction.IRNT,3.3400877149328676,3.3400509315665405,4.9419320012294e-4,0.6831683168316832,4.96862929715014e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.original.with_med_correction.RAW,3.2881220035144767,3.231319575144098,4.9412165640248e-4,0.7128712871287128,3.898854013931197e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.IRNT,3.0912332883563978,3.020042089962969,4.9390623869528e-4,0.8415841584158416,5.670113808306388e-6,0.009900990099009901
Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.RAW,3.0711168271959624,3.0696987757325993,4.9366382690827e-4,0.900990099009901,4.125714791919969e-6,0.009900990099009901
Albumin.all_ethnicities.both.2nd_visit.original.RAW,2.913747653294891,3.443837001305072,5.2441528635837e-4,0.0099009900990099,9.471274731242402e-5,0.019801980198019802
Albumin.all_ethnicities.both.dynamic_med_corrected.IRNT,2.910898554268514,2.7981136239916955,4.9423023340015e-4,0.6534653465346535,6.422723266147347e-6,0.009900990099009901
Albumin.all_ethnicities.both.dynamic_med_corrected.RAW,2.9245969977380892,2.8179186116964177,4.9437810758727e-4,0.5445544554455446,6.325379965881156e-6,0.009900990099009901
Albumin.all_ethnicities.both.original.IRNT,2.991607240882549,2.9915620908413576,4.9382601847361e-4,0.8811881188118812,6.129855032482867e-6,0.009900990099009901
Albumin.all_ethnicities.both.original.RAW,3.2563877440347184,2.992542573351964,4.9236675727104e-4,0.900990099009901,6.062721733202103e-6,0.009900990099009901
Albumin.all_ethnicities.both.original.with_med_correction.IRNT,2.947359294905638,2.9473113723136453,4.9376183540723e-4,0.8514851485148515,6.180858288219737e-6,0.009900990099009901
Albumin.all_ethnicities.both.original.with_med_correction.RAW,3.2553107327898845,2.9476186677473626,4.9374978911496e-4,0.8613861386138614,6.106232265414013e-6,0.009900990099009901
Albumin.all_ethnicities.both.static_med_corrected.IRNT,2.9194861175910725,2.7101953129757974,4.9446987113109e-4,0.504950495049505,6.365715579827055e-6,0.009900990099009901
Albumin.all_ethnicities.both.static_med_corrected.RAW,2.942309407139015,2.7083604452749124,4.9451724147956e-4,0.49504950495049505,6.275467504788255e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.2nd_visit.original.RAW,2.925704586706671,3.3508580294243924,5.0964468155247e-4,0.0099009900990099,5.538738091954987e-5,0.7623762376237624
Alkaline_phosphatase.all_ethnicities.both.dynamic_med_corrected.IRNT,2.6721038415823424,2.682851349235142,4.9568491059506e-4,0.0396039603960396,7.96615425828371e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.dynamic_med_corrected.RAW,3.2304919620399275,3.241580843738384,4.9560571237437e-4,0.0594059405940594,6.061623165119004e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.original.IRNT,3.1394269641220927,3.1394161281700117,4.9584573781137e-4,0.0198019801980198,7.104330284925242e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.original.RAW,3.238759134777558,3.177481175916218,4.9416520406736e-4,0.0198019801980198,5.5678957929655715e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.original.with_med_correction.IRNT,3.104375186436291,3.1043633881054222,4.9605441545725e-4,0.0198019801980198,7.182662887614266e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.original.with_med_correction.RAW,3.2364374400198916,3.1436079284664573,4.9534673610465e-4,0.0198019801980198,5.6071609136551515e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.static_med_corrected.IRNT,2.417311085021231,2.3916079608109224,4.9596015064562e-4,0.0297029702970297,7.88862396602568e-6,0.009900990099009901
Alkaline_phosphatase.all_ethnicities.both.static_med_corrected.RAW,2.798650470018768,2.7956953540408183,4.9598757040509e-4,0.0396039603960396,6.030664013988788e-6,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.2nd_visit.original.RAW,2.950592114568298,3.4407859556968377,5.202167971646e-4,0.0099009900990099,1.8244233072750585e-4,0.9900990099009901
Ankle_spacing_width_left.all_ethnicities.both.dynamic_med_corrected.IRNT,3.096951012038227,3.0987249340279837,5.0242511864409e-4,0.0099009900990099,1.6034988278404868e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.dynamic_med_corrected.RAW,3.1019552540152837,3.0905403079080167,5.0254199414466e-4,0.0099009900990099,1.5905782521880214e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.original.IRNT,3.0268927172924336,3.0263475521063397,5.0338664512213e-4,0.0099009900990099,1.1861068970275834e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.original.RAW,2.8623087062237493,3.021186831215688,5.031625226568e-4,0.0099009900990099,1.1780568451469351e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.original.with_med_correction.IRNT,3.0268927172924336,3.0263475521063397,5.0338664512213e-4,0.0099009900990099,1.1861068970275834e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.original.with_med_correction.RAW,2.8623087062237493,3.021186831215688,5.031625226568e-4,0.0099009900990099,1.1780568451469351e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.static_med_corrected.IRNT,3.3222844488363807,3.3257274750613317,5.0256513968482e-4,0.0099009900990099,1.5897741214752658e-5,0.009900990099009901
Ankle_spacing_width_left.all_ethnicities.both.static_med_corrected.RAW,3.2664850260650167,3.2722559634458688,5.0254731886351e-4,0.0099009900990099,1.5753391770988304e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.2nd_visit.original.RAW,2.944040475808734,3.4238248663240425,5.1661736573713e-4,0.0099009900990099,1.833042924972994e-4,0.9900990099009901
Ankle_spacing_width_right.all_ethnicities.both.dynamic_med_corrected.IRNT,2.9774185368563644,3.0881236022977503,5.0357647113716e-4,0.0099009900990099,1.5177994680785382e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.dynamic_med_corrected.RAW,3.0040597050368163,2.930040758409455,5.0336309887421e-4,0.0099009900990099,1.5216868234645823e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.original.IRNT,3.0298450325988897,3.029402058329466,5.0291566152711e-4,0.0099009900990099,1.163906867451825e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.original.RAW,2.8586888193494935,3.031246104193765,5.0250489134298e-4,0.0099009900990099,1.1682048709660275e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.original.with_med_correction.IRNT,3.0298450325988897,3.029402058329466,5.0291566152711e-4,0.0099009900990099,1.163906867451825e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.original.with_med_correction.RAW,2.8586888193494935,3.031246104193765,5.0250489134298e-4,0.0099009900990099,1.1682048709660275e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.static_med_corrected.IRNT,3.231860267063657,3.2021752544603728,5.0297616465331e-4,0.0099009900990099,1.4969690371171128e-5,0.009900990099009901
Ankle_spacing_width_right.all_ethnicities.both.static_med_corrected.RAW,3.20372302313317,3.187563490420127,5.0324466660628e-4,0.0099009900990099,1.4991656801873418e-5,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.2nd_visit.original.RAW,2.955896645347046,3.267059149346955,5.2183817585978e-4,0.0099009900990099,7.883483557452609e-5,0.801980198019802
Ankle_spacing_width.all_ethnicities.both.dynamic_med_corrected.IRNT,2.726484847692699,2.723368198809653,4.9583416138068e-4,0.07920792079207921,8.640455642665396e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.dynamic_med_corrected.RAW,2.5763001495485662,2.5694491482732,4.9592610520885e-4,0.06930693069306931,8.675212389264552e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.original.IRNT,3.1923914357665315,3.1916243127903425,4.9615760611655e-4,0.0396039603960396,6.323062395674484e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.original.RAW,2.89225444554382,3.1985303336553224,4.9487508694515e-4,0.04950495049504951,6.355741864361164e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.original.with_med_correction.IRNT,3.1923914357665315,3.1916243127903425,4.9615760611655e-4,0.0396039603960396,6.323062395674484e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.original.with_med_correction.RAW,2.89225444554382,3.1985303336553224,4.9487508694515e-4,0.04950495049504951,6.355741864361164e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.static_med_corrected.IRNT,2.726484847692699,2.723368198809653,4.9583416138068e-4,0.07920792079207921,8.640455642665396e-6,0.009900990099009901
Ankle_spacing_width.all_ethnicities.both.static_med_corrected.RAW,2.5763001495485662,2.5694491482732,4.9592610520885e-4,0.06930693069306931,8.675212389264552e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.2nd_visit.original.RAW,2.9092481860033153,3.431572456712948,5.130858738013e-4,0.0099009900990099,6.776131021371534e-5,0.8514851485148515
Apolipoprotein_A.all_ethnicities.both.dynamic_med_corrected.IRNT,2.87950222705732,2.872182485195262,4.9392442844788e-4,0.8613861386138614,6.177273682008896e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.dynamic_med_corrected.RAW,3.126592171925397,3.134608137761531,4.9406235966957e-4,0.7821782178217822,5.988875431686726e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.original.IRNT,2.901462476710313,2.9014322559028964,4.9420415081524e-4,0.7227722772277227,5.081403000761764e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.original.RAW,3.2346858916798524,2.905253613130489,4.9406954827965e-4,0.7029702970297029,4.952615518721837e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.original.with_med_correction.IRNT,2.892521176257824,2.892490174722292,4.942064389003e-4,0.7128712871287128,5.045689757343652e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.original.with_med_correction.RAW,3.231734026818661,2.8927742239500156,4.9347467574347e-4,0.7524752475247525,4.923475721452242e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.static_med_corrected.IRNT,3.1017417867198227,3.03455155108194,4.9348516261499e-4,0.9306930693069309,6.1964552327130706e-6,0.009900990099009901
Apolipoprotein_A.all_ethnicities.both.static_med_corrected.RAW,3.119733415160631,3.0315130019015584,4.9351015255667e-4,0.9108910891089108,5.999782712070859e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.2nd_visit.original.RAW,2.9073773942837,3.445451924469656,5.1165007567562e-4,0.0099009900990099,6.024634542516061e-5,0.5643564356435643
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.IRNT,3.341131293764523,3.312659102293982,4.9546930024086e-4,0.06930693069306931,6.27740973814697e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.RAW,3.0551578682796987,3.042194325316739,4.9535485826722e-4,0.12871287128712872,6.24400508455638e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.original.IRNT,3.0127238658294067,3.0125998125170876,4.9599766070633e-4,0.0099009900990099,4.845045909035971e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.original.RAW,3.259452248287738,3.0404447535952848,4.95085394406e-4,0.0099009900990099,4.951130386702737e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.IRNT,3.018083507267543,3.0179783650054772,4.9559935407887e-4,0.06930693069306931,6.085667531248451e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.RAW,3.2809096642394064,3.027037411225807,4.9485248481486e-4,0.07920792079207921,6.084286987916021e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.IRNT,3.140991671869433,3.1116514394234347,4.955772479287e-4,0.0396039603960396,5.9663981921686895e-6,0.009900990099009901
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.RAW,3.3293736994034417,3.325174050875386,4.9554177986171e-4,0.0396039603960396,6.0263391146743556e-6,0.009900990099009901
Arm_fat_free_mass_left.all_ethnicities.both.2nd_visit.original.RAW,2.913206977641655,3.3130664064631294,5.0687702136799e-4,0.0099009900990099,2.0258766937342187e-5,1
Arm_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT,2.7334347290234136,2.7343970476606767,4.9467274333671e-4,0.4356435643564357,8.598168622386085e-6,0.009900990099009901
Arm_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW,2.907369647489258,2.9135247752926787,4.9442622103229e-4,0.5544554455445545,7.9243697273844e-6,0.009900990099009901
Arm_fat_free_mass_left.all_ethnicities.both.original.IRNT,2.8659630606800848,2.8659300559636907,4.9512021039593e-4,0.16831683168316833,3.392736872109836e-6,0.009900990099009901
Arm_fat_free_mass_left.all_ethnicities.both.original.RAW,3.2403040335209163,2.9485092692938895,4.8602953251462e-4,0.0891089108910891,2.532831444024275e-6,0.039603960396039604
Arm_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.IRNT,2.865684874836905,2.8656518518332033,4.9512676740673e-4,0.1782178217821782,3.38889067985626e-6,0.009900990099009901
Arm_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.RAW,3.2399356310771874,2.9473273114396137,4.8602953251462e-4,0.0891089108910891,2.5328589569051374e-6,0.039603960396039604
Arm_fat_free_mass_left.all_ethnicities.both.static_med_corrected.IRNT,3.0776177634944784,3.098256628424094,4.9496880278777e-4,0.3069306930693069,8.753952258884241e-6,0.009900990099009901
Arm_fat_free_mass_left.all_ethnicities.both.static_med_corrected.RAW,3.0745363034451105,3.073768056735285,4.9472024775128e-4,0.45544554455445546,8.029602777016591e-6,0.009900990099009901
Arm_fat_free_mass_right.all_ethnicities.both.2nd_visit.original.RAW,2.9133133828773468,3.3057966767616693,4.919917524084e-4,0.0099009900990099,1.7852579449195716e-5,1
Arm_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,2.839314790393101,2.7572876335071848,4.9433851077305e-4,0.693069306930693,8.669759081565843e-6,0.009900990099009901
Arm_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW,2.8227026452708666,2.770689319017006,4.9449654994646e-4,0.6237623762376238,7.822875309217449e-6,0.009900990099009901
Arm_fat_free_mass_right.all_ethnicities.both.original.IRNT,2.832410463194859,2.8323748803030964,4.9524659431939e-4,0.1485148514851485,3.3141186297491743e-6,0.009900990099009901
Arm_fat_free_mass_right.all_ethnicities.both.original.RAW,3.2379389075568725,2.9602195754937277,4.6857019578064e-4,0.18811881188118812,2.301404595006495e-6,0.18811881188118812
Arm_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,2.828887346026271,2.8288517982769092,4.9522351326392e-4,0.15841584158415842,3.3196436135529694e-6,0.009900990099009901
Arm_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.RAW,3.2377903384947393,2.9591530466213674,4.717038983095e-4,0.18811881188118812,2.3032324335536813e-6,0.18811881188118812
Arm_fat_free_mass_right.all_ethnicities.both.static_med_corrected.IRNT,2.8890510456483915,2.8401768865777774,4.9463885644634e-4,0.5148514851485149,8.777718549005599e-6,0.009900990099009901
Arm_fat_free_mass_right.all_ethnicities.both.static_med_corrected.RAW,2.819857334518882,2.871109428097624,4.946846587888e-4,0.46534653465346537,7.91784589114818e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.2nd_visit.original.RAW,2.9218512319691814,3.290740900083539,4.749551368863e-4,0.0099009900990099,5.313680878239746e-5,0.26732673267326734
Arm_fat_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT,2.939068256303937,2.9329606446435084,4.9415067988291e-4,0.7722772277227723,5.992341114475978e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW,2.9340308549210063,2.9250606708474987,4.9445728426846e-4,0.5544554455445545,5.409529192804228e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.original.IRNT,3.15898382248866,3.158939002797793,4.9434529684069e-4,0.6435643564356436,6.349957326519384e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.original.RAW,3.1589488733506057,3.071268068396961,4.9323381972219e-4,0.6435643564356436,5.789921982447821e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.original.with_med_correction.IRNT,3.1589923892522953,3.1589456346103626,4.941510312037e-4,0.7920792079207921,6.290056243501985e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.original.with_med_correction.RAW,3.17527367168196,3.069298621787654,4.891023474683e-4,0.7227722772277227,5.762810420410769e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.static_med_corrected.IRNT,2.9489409151133463,2.94936204092653,4.9476420463854e-4,0.4455445544554455,5.834152644306095e-6,0.009900990099009901
Arm_fat_mass_left.all_ethnicities.both.static_med_corrected.RAW,2.9871533785736943,2.988024463262034,4.9477235788735e-4,0.39603960396039606,5.235637798415092e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.2nd_visit.original.RAW,2.92316584367555,3.311511469747318,4.1969623676883e-4,0.0099009900990099,5.309273250544283e-5,0.26732673267326734
Arm_fat_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,2.7677303180422563,2.767156406989255,4.9458305897836e-4,0.5544554455445545,6.067800148071612e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW,2.7976882246494132,2.796423646448974,4.9433474719042e-4,0.6732673267326733,5.4872366808655015e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.original.IRNT,3.1632956743202287,3.1632487988097977,4.9411190526938e-4,0.8514851485148515,6.326068958277531e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.original.RAW,3.15113951037043,3.078621775602063,4.4190873702541e-4,0.9405940594059404,5.806064396776667e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,3.1624394181517284,3.162390923046055,4.9385524984993e-4,0.9207920792079208,6.304469621992714e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.original.with_med_correction.RAW,3.163140108111751,3.0732553295449323,4.3903628568375e-4,0.9108910891089108,5.789750031223728e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.static_med_corrected.IRNT,2.5411077315914254,2.4123549872082064,4.9418177221038e-4,0.7227722772277227,5.869694509692058e-6,0.009900990099009901
Arm_fat_mass_right.all_ethnicities.both.static_med_corrected.RAW,2.620659435582944,2.5704140403630142,4.9481113486482e-4,0.4158415841584158,5.313139450557267e-6,0.009900990099009901
Arm_fat_percentage_left.all_ethnicities.both.2nd_visit.original.RAW,2.9189427062599487,3.34312944041627,5.0840476328508e-4,0.0099009900990099,3.0408696700179316e-5,1
Arm_fat_percentage_left.all_ethnicities.both.dynamic_med_corrected.IRNT,3.076720812913675,3.075963638276688,4.9426783633066e-4,0.7128712871287128,6.206987648938624e-6,0.009900990099009901
Arm_fat_percentage_left.all_ethnicities.both.dynamic_med_corrected.RAW,3.076379040953425,3.0717508998053966,4.9400751483045e-4,0.8415841584158416,5.953968261520369e-6,0.009900990099009901
Arm_fat_percentage_left.all_ethnicities.both.original.IRNT,3.1448207291216863,3.1447719675092607,4.9342752483514e-4,0.9702970297029704,3.893722734238381e-6,0.009900990099009901
Arm_fat_percentage_left.all_ethnicities.both.original.RAW,3.2916471625545656,3.112250041492606,4.9236848637076e-4,0.9702970297029704,3.643788972995665e-6,0.009900990099009901
Arm_fat_percentage_left.all_ethnicities.both.original.with_med_correction.IRNT,3.1485822251362787,3.14853076051806,4.9353287702212e-4,0.9504950495049505,3.831462687398091e-6,0.009900990099009901
