PHENOTYPE,PC1_COS_SIM,PC1_ABS_COS_SIM,PC1_PEARSON,PC1_ABS_PEARSON,RANK_PC1_COS_SIM,RANK_PC1_PEARSON,EVEN_COS_SIM,EVEN_PEARSON,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.R2.NO.INTERCEPT,MEAN.DELTA.ADJ.R2.NO.INTERCEPT,MEAN.DELTA.ADJ.R2.POSITIVE,MEAN.DELTA.ADJ.R2.NO.INTERCEPT.POSITIVE
Age_at_last_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT,4.294001080451081e-12,4.294001080451081e-12,5.196641262406029e-12,5.196641262406029e-12,38,38,2.8315606705309513,2.9040376015865275,0.01200554884787821,0.33265238399614,0.08752177434687584,1.2342979136066586e-7,4.9848594518271e-4,3.335456774187746e-4,7.239760749069614e-6,1.6557253863313886e-6,6.644222879994469e-6,-1.2179269937710692e-4,0,0
Age_at_last_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW,-1.740510040763721e-11,1.740510040763721e-11,-1.9854277001079737e-11,1.9854277001079737e-11,36,36,2.7151975356748417,2.713506688490793,0.01251482153054952,0.324977556341531,0.08927777588583714,1.234286265818866e-7,4.9808042573012e-4,3.335260020919561e-4,7.001704927663849e-6,1.4176373907937405e-6,6.383567476227864e-6,-1.2205337778560149e-4,0,0
Age_at_last_live_birth.all_ethnicities.both.original.IRNT,0.04183246780536938,0.04183246780536938,0.04184347292792763,0.04184347292792763,40,40,3.149507471088968,3.149448974666131,0.01117391409358208,0.336890160355997,0.08425244801296693,1.2339251146503557e-7,4.9729302026818e-4,3.3347717876318903e-4,8.35118551097136e-6,2.9655916130230664e-6,0.00286449968287241,0.00273755579869305,0,0
Age_at_last_live_birth.all_ethnicities.both.original.RAW,-0.01971164794862123,0.01971164794862123,0.01638581881032319,0.01638581881032319,37,33,3.250188928458558,3.1997833403519707,0.01125540888957305,0.366732892515152,0.08516760763797172,1.0071800099014905e-7,4.4938940561261e-4,3.012681920357938e-4,8.005968322441492e-6,2.6004373662458224e-6,0.00269130473777512,0.00268462449462614,0,0
Age_at_last_live_birth.all_ethnicities.both.original.with_med_correction.IRNT,0.04183246780536938,0.04183246780536938,0.04184347292792763,0.04184347292792763,40,40,3.149507471088968,3.149448974666131,0.01117391409358208,0.336890160355997,0.08425244801296693,1.2339251146503557e-7,4.9729302026818e-4,3.3347717876318903e-4,8.35118551097136e-6,2.9655916130230664e-6,0.00286449968287241,0.00273755579869305,0,0
Age_at_last_live_birth.all_ethnicities.both.original.with_med_correction.RAW,-0.01971164794862123,0.01971164794862123,0.01638581881032319,0.01638581881032319,37,33,3.250188928458558,3.1997833403519707,0.01125540888957305,0.366732892515152,0.08516760763797172,1.0071800099014905e-7,4.4938940561261e-4,3.012681920357938e-4,8.005968322441492e-6,2.6004373662458224e-6,0.00269130473777512,0.00268462449462614,0,0
Age_at_last_live_birth.all_ethnicities.both.static_med_corrected.IRNT,6.349404257398824e-12,6.349404257398824e-12,5.178362826212387e-12,5.178362826212387e-12,39,38,3.043371122308788,3.0666502159726674,0.01180754428688879,0.339053652927576,0.08597090339704,1.234221281606507e-7,4.9839117245254e-4,3.335374648453266e-4,7.207001414077544e-6,1.6229621932961684e-6,6.630838966503322e-6,-1.2180608427006118e-4,0,0
Age_at_last_live_birth.all_ethnicities.both.static_med_corrected.RAW,1.0369818680381248e-10,1.0369818680381248e-10,9.799316653963479e-11,9.799316653963479e-11,38,38,2.867297793561133,2.8866618970721993,0.01222053521599793,0.335074702480571,0.08901479822138858,1.2342148255086124e-7,4.985387041126e-4,3.3352575735350574e-4,7.014973867911353e-6,1.4309082546393496e-6,6.408958088476695e-6,-1.2202798311740854e-4,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.2nd_visit.original.RAW,-0.2981337578975807,0.2981337578975807,-0.0366870001543762,0.0366870001543762,39,40,2.917069002719529,3.2392522367581416,0.00979030883095163,0.32352977957024,0.07742568221215687,8.74567258749455e-8,4.1891777190793e-4,2.806471826253821e-4,5.13459110199968e-5,-2.279212882861509e-6,7.638991695259056e-4,6.554675392952403e-4,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.dynamic_med_corrected.IRNT,1.3019537884679748e-11,1.3019537884679748e-11,8.048808002435513e-12,8.048808002435513e-12,38,38,2.8713570198514233,2.7603692976527374,0.01165882976365205,0.395667756411017,0.08831558520121074,1.2217180917385329e-7,4.9541566101952e-4,3.317430337944035e-4,3.2626495046898515e-6,1.0020887066858312e-6,3.0659422270322344e-6,-4.8928093264582055e-5,0.01,0.005
Age_first_had_sexual_intercourse.all_ethnicities.both.dynamic_med_corrected.RAW,-1.2716914838857309e-11,1.2716914838857309e-11,-7.107358906495713e-12,7.107358906495713e-12,38,37,2.9208838396041137,2.7925398512541446,0.00999092596327157,0.321443441187822,0.0811205531837115,1.2217362649632868e-7,4.9501781192675e-4,3.317545680208164e-4,2.423784901757812e-6,1.6317822150280055e-7,2.208037595296077e-6,-4.978603535379284e-5,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.original.IRNT,-0.0306126140544728,0.0306126140544728,-0.03064680969590902,0.03064680969590902,39,39,3.2051347461319684,3.204732666608495,0.01044163667965064,0.363933420860601,0.08122778957081266,1.2217490623788518e-7,4.9551644721111e-4,3.3175626526805546e-4,4.04067669500241e-6,1.88093645351467e-6,0.0038468690583618,0.0037956531268218,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.original.RAW,-0.05802795863397955,0.05802795863397955,-0.04277488080640446,0.04277488080640446,40,39,2.957044427857699,3.0564087362563024,0.00990756772908211,0.316146907494699,0.08088969393902322,1.0127151892671657e-7,4.510617580085e-4,3.02053618613326e-4,2.8534297797123964e-6,6.327852385065724e-7,0.00117928029417968,0.00117405889034571,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.original.with_med_correction.IRNT,-0.0306126140544728,0.0306126140544728,-0.03064680969590902,0.03064680969590902,39,39,3.2051347461319684,3.204732666608495,0.01044163667965064,0.363933420860601,0.08122778957081266,1.2217490623788518e-7,4.9551644721111e-4,3.3175626526805546e-4,4.04067669500241e-6,1.88093645351467e-6,0.0038468690583618,0.0037956531268218,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.original.with_med_correction.RAW,-0.05802795863397955,0.05802795863397955,-0.04277488080640446,0.04277488080640446,40,39,2.957044427857699,3.0564087362563024,0.00990756772908211,0.316146907494699,0.08088969393902322,1.0127151892671657e-7,4.510617580085e-4,3.02053618613326e-4,2.8534297797123964e-6,6.327852385065724e-7,0.00117928029417968,0.00117405889034571,0,0
Age_first_had_sexual_intercourse.all_ethnicities.both.static_med_corrected.IRNT,-5.144665622630672e-11,5.144665622630672e-11,-4.1556783113048545e-11,4.1556783113048545e-11,40,40,2.569638179731346,2.75890377359619,0.01130000495745343,0.383424372416848,0.08664626096987796,1.2217603467542554e-7,4.9529101236047e-4,3.317530887909411e-4,3.2315981809538665e-6,9.710355907238644e-7,3.0350308424136367e-6,-4.895900640399829e-5,0.01,0.01
Age_first_had_sexual_intercourse.all_ethnicities.both.static_med_corrected.RAW,1.6716604093662125e-11,1.6716604093662125e-11,1.9549576366230895e-11,1.9549576366230895e-11,37,37,2.9128686928684218,2.9305100125991004,0.01049597562599849,0.315258983340608,0.08088753197257668,1.2216906191638305e-7,4.9495532446861e-4,3.317507056200863e-4,2.411148940517281e-6,1.505415531088928e-7,2.1970597977683007e-6,-4.97970138007317e-5,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.2nd_visit.original.RAW,-0.24844895323200616,0.24844895323200616,-0.00946548848161588,0.00946548848161588,38,25,2.90070880012739,3.215561759688532,0.01049080511969716,0.319376868170009,0.08318717519416333,1.1936328166166733e-7,4.9964956972509e-4,3.277720284094478e-4,5.481583782655439e-5,-3.409160558992541e-7,7.501018410016602e-5,-2.680438051065881e-4,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.IRNT,-2.301405854710511e-13,2.301405854710511e-13,2.366674703856639e-12,2.366674703856639e-12,10,34,2.8001168229602675,2.8336175093243776,0.01027058691122853,0.275161463742503,0.08290036764052472,1.222411913824006e-7,4.9601169679006e-4,3.3189880441217696e-4,2.9920333804198466e-6,6.656983337238701e-7,2.730253589195569e-6,-5.0776138008229475e-5,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.RAW,4.2692502906903723e-13,4.2692502906903723e-13,1.6946316114392133e-12,1.6946316114392133e-12,31,36,2.90862824338458,2.9044059191674085,0.0104670988456274,0.277820442987511,0.08233270212621702,1.2225124582528677e-7,4.9583821042725e-4,3.31893348723905e-4,3.4518917862213123e-6,1.1255810756394285e-6,3.132982917541963e-6,-5.037338711155128e-5,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.IRNT,-0.00690061218942264,0.00690061218942264,-0.00690917464112299,0.00690917464112299,36,36,3.199547217495302,3.199526930422548,0.01024632606460762,0.300715550291108,0.0794359453166314,1.2225255217981701e-7,4.9610862786948e-4,3.318968670498954e-4,3.0666450555189018e-6,8.289938436475963e-7,0.00315550235739161,0.00310252955066221,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.RAW,-0.04253162122021944,0.04253162122021944,0.00123392521875349,0.00123392521875349,40,7,3.187235025626947,3.1968268127263455,0.00962266807214633,0.303775480442288,0.07735249997396172,1.1572052518859357e-7,4.8252288156103e-4,3.2291252201282545e-4,3.641133282238085e-6,1.3841713294680813e-6,1.264395265344609e-4,1.1348896678964326e-4,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.IRNT,-0.00674393492350263,0.00674393492350263,-0.006752302966144,0.006752302966144,37,37,3.1830945602667544,3.1830729585718496,0.00991321725013013,0.314821813522831,0.0790498180111208,1.222594894534811e-7,4.9577195858897e-4,3.319069143960361e-4,3.099316413582298e-6,8.503707956061812e-7,0.00277740089082526,0.00272434817921635,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.RAW,-0.04245335710468556,0.04245335710468556,0.00123060510486897,0.00123060510486897,40,7,3.184110653016064,3.1923789985926603,0.00965994864041877,0.307887867673429,0.07766718982182687,1.1551982947449509e-7,4.820877969679e-4,3.226330664400734e-4,3.652542361697042e-6,1.3894986380727503e-6,1.4811576282525163e-4,1.3498141636847372e-4,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.IRNT,1.3556652225790378e-11,1.3556652225790378e-11,9.123673686705683e-12,9.123673686705683e-12,40,38,2.81382207421237,2.7608281509749695,0.01006172897407348,0.331744250785517,0.08084099814783026,1.222404078897527e-7,4.9567989690465e-4,3.3189927282437244e-4,2.9848445241661243e-6,6.585092932676059e-7,2.7336118066647686e-6,-5.077277927376561e-5,0,0
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.RAW,1.619711572596413e-12,1.619711572596413e-12,-5.388609538575825e-13,5.388609538575825e-13,35,30,3.0866654110846468,2.987481218528291,0.01051670795537445,0.303514770958133,0.08349852010598059,1.222531402650354e-7,4.9594278352842e-4,3.318966516222494e-4,3.4573146334354515e-6,1.1310042759904437e-6,3.138782475218744e-6,-5.036758704514005e-5,0,0
Alanine_aminotransferase.all_ethnicities.both.2nd_visit.original.RAW,-0.23276249034501212,0.23276249034501212,-0.00859101297125683,0.00859101297125683,37,28,2.881556862137466,3.4680935052334143,0.00933198877567324,0.341400178703317,0.07793697254146287,1.282333794920883e-7,5.1159735217992e-4,3.397572976868805e-4,6.122745188988366e-5,3.626654815729047e-6,0.00167070650430944,0.00135939992433375,0,0
Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.IRNT,-4.517262237975221e-12,4.517262237975221e-12,-1.652385650396203e-11,1.652385650396203e-11,25,31,2.6235019104134527,2.5811187349486646,0.0115198793510201,0.279674198450334,0.08683251312113746,1.2197847923075742e-7,4.9386921914236e-4,3.3153263989489325e-4,5.670259403074838e-6,3.5161831605629e-6,5.26267285395846e-6,-4.428488357478575e-5,0.005,0.005
Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.RAW,-1.512220852140278e-11,1.512220852140278e-11,-3.487296472586181e-11,3.487296472586181e-11,31,34,2.8041932012726183,2.700501691728518,0.01123046049289223,0.288600034386753,0.08538703047019199,1.219910661510666e-7,4.9364604088547e-4,3.3155096626884717e-4,4.126548743538764e-6,1.9723949720296114e-6,3.8102302268027345e-6,-4.573739951267798e-5,0,0
Alanine_aminotransferase.all_ethnicities.both.original.IRNT,-0.01720974903418651,0.01720974903418651,-0.01721446818151714,0.01721446818151714,39,39,3.3081765717485414,3.308145253146169,0.00974603221715086,0.312022254244372,0.07859381502062988,1.220161115802745e-7,4.9407225849372e-4,3.315790302725672e-4,5.029470835665739e-6,3.1275178851014607e-6,4.454519315224004e-4,4.0153911893194005e-4,0,0
Alanine_aminotransferase.all_ethnicities.both.original.RAW,-0.02515954015651064,0.02515954015651064,-0.00989259321577359,0.00989259321577359,40,38,3.2868479698770647,3.244747071208631,0.00979255318990657,0.314942230008981,0.07860714437254651,1.2193700220496458e-7,4.939403000894e-4,3.3147167029202616e-4,3.9370003284411315e-6,1.924774892705927e-6,0.00155855128930282,0.00154561931251118,0,0
Alanine_aminotransferase.all_ethnicities.both.original.with_med_correction.IRNT,-0.01649149151257995,0.01649149151257995,-0.01649601370392593,0.01649601370392593,39,39,3.3400877149328676,3.3400509315665405,0.01014820280856103,0.274769499768532,0.08132764714513835,1.2200248728557933e-7,4.9419320012294e-4,3.315624809524308e-4,4.96862929715014e-6,3.046881716484151e-6,4.3205199875384626e-5,-1.0118729349833933e-6,0,0
Alanine_aminotransferase.all_ethnicities.both.original.with_med_correction.RAW,-0.0246722011907445,0.0246722011907445,-0.00903291271531374,0.00903291271531374,40,38,3.2881220035144767,3.231319575144098,0.01019283882185385,0.27710244717954,0.08153489401981115,1.2197154604422986e-7,4.9412165640248e-4,3.315203880606573e-4,3.898854013931197e-6,1.8821496188953235e-6,0.00189824287995254,0.00188474656369141,0,0
Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.IRNT,-3.946625724234457e-11,3.946625724234457e-11,-5.785075083092872e-11,5.785075083092872e-11,38,39,3.0912332883563978,3.020042089962969,0.01094389105165816,0.282266712830312,0.08468463637363505,1.2198399826965236e-7,4.9390623869528e-4,3.3154505101743635e-4,5.670113808306388e-6,3.516037951856174e-6,5.287609273064442e-6,-4.425994588228025e-5,0,0
Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.RAW,3.6100866690213584e-11,3.6100866690213584e-11,3.546790598500412e-11,3.546790598500412e-11,36,36,3.0711168271959624,3.0696987757325993,0.01139989495441603,0.307198951065773,0.08564794658013038,1.2198516250241566e-7,4.9366382690827e-4,3.3154242234294473e-4,4.125714791919969e-6,1.9715609880865967e-6,3.8079957945538617e-6,-4.573963422780728e-5,0,0
Albumin.all_ethnicities.both.2nd_visit.original.RAW,-0.2494123883769966,0.2494123883769966,-4.3373695260812e-4,4.3373695260812e-4,37,3,2.913747653294891,3.443837001305072,0.0113154647766635,0.296417330135066,0.08542213157246392,1.279393528491615e-7,5.2441528635837e-4,3.393685429076417e-4,9.471274731242402e-5,2.2533755872210237e-5,0.00181803438160255,0.0017840257333801,0,0
Albumin.all_ethnicities.both.dynamic_med_corrected.IRNT,1.3190759584994204e-10,1.3190759584994204e-10,1.595468161064482e-10,1.595468161064482e-10,40,40,2.910898554268514,2.7981136239916955,0.01124944351497402,0.323337893357681,0.08599984121284264,1.2213931593808897e-7,4.9423023340015e-4,3.317290956167526e-4,6.422723266147347e-6,4.071387064304987e-6,5.86573904577676e-6,-4.821977208897175e-5,0,0
Albumin.all_ethnicities.both.dynamic_med_corrected.RAW,3.0743048014576516e-10,3.0743048014576516e-10,3.723695165928667e-10,3.723695165928667e-10,40,40,2.9245969977380892,2.8179186116964177,0.01126867645902536,0.345054013784295,0.08619481515188193,1.2213694868553153e-7,4.9437810758727e-4,3.3172302424066175e-4,6.325379965881156e-6,3.974038474211514e-6,5.769159382979049e-6,-4.831635700880555e-5,0,0
Albumin.all_ethnicities.both.original.IRNT,-0.0344861272143196,0.0344861272143196,-0.03449458501939491,0.03449458501939491,40,40,2.991607240882549,2.9915620908413576,0.01018051749950159,0.267117851669273,0.08501488253521046,1.2216749487173833e-7,4.9382601847361e-4,3.3177588137703014e-4,6.129855032482867e-6,3.866578633590634e-6,0.00188489488439565,0.0018320368901714,0,0
Albumin.all_ethnicities.both.original.RAW,-0.02411400615754963,0.02411400615754963,-0.03459760638245582,0.03459760638245582,40,40,3.2563877440347184,2.992542573351964,0.01012626648725142,0.26822052111163,0.08471966150333705,1.214697013120459e-7,4.9236675727104e-4,3.3082606818521533e-4,6.062721733202103e-6,3.7982620264900846e-6,0.00245734700644328,0.00245614057106779,0,0
Albumin.all_ethnicities.both.original.with_med_correction.IRNT,-0.037454023775555,0.037454023775555,-0.03746320946435126,0.03746320946435126,40,40,2.947359294905638,2.9473113723136453,0.01074062617125072,0.29278254310215,0.08698190067718287,1.2216157200444794e-7,4.9376183540723e-4,3.3176632885788916e-4,6.180858288219737e-6,3.925547986706468e-6,0.00240125738227526,0.00234836493459805,0,0
Albumin.all_ethnicities.both.original.with_med_correction.RAW,-0.02429091707847716,0.02429091707847716,-0.03761685492781572,0.03761685492781572,40,40,3.2553107327898845,2.9476186677473626,0.01072622954296832,0.29371574990095,0.08690317961594451,1.2215449033102802e-7,4.9374978911496e-4,3.317570602749239e-4,6.106232265414013e-6,3.849677694407749e-6,0.00248962741143865,0.00248840779111902,0,0
Albumin.all_ethnicities.both.static_med_corrected.IRNT,6.042238384658416e-11,6.042238384658416e-11,8.834941481971441e-12,8.834941481971441e-12,31,23,2.9194861175910725,2.7101953129757974,0.01104678670284569,0.298369999177538,0.08607991955666304,1.2215354061762794e-7,4.9446987113109e-4,3.3175121835466435e-4,6.365715579827055e-6,4.014376251444408e-6,5.810787205611536e-6,-4.8274726583727096e-5,0,0
Albumin.all_ethnicities.both.static_med_corrected.RAW,1.1055252755297952e-10,1.1055252755297952e-10,-7.603037442946043e-12,7.603037442946043e-12,31,12,2.942309407139015,2.7083604452749124,0.01149055733650821,0.288909535326673,0.08826867159415891,1.2215414787131492e-7,4.9451724147956e-4,3.317539661505486e-4,6.275467504788255e-6,3.9241232818620935e-6,5.722264526120973e-6,-4.836325405365668e-5,0,0
Alkaline_phosphatase.all_ethnicities.both.2nd_visit.original.RAW,-0.2447965165097073,0.2447965165097073,0.01541172669366173,0.01541172669366173,37,34,2.925704586706671,3.3508580294243924,0.00938768645413241,0.288490971696203,0.07945463957860155,1.272806243043112e-7,5.0964468155247e-4,3.3863326050649677e-4,5.538738091954987e-5,-3.746982259193038e-6,9.962741421394306e-4,8.813114919785647e-4,0,0
Alkaline_phosphatase.all_ethnicities.both.dynamic_med_corrected.IRNT,-1.5190636028554524e-11,1.5190636028554524e-11,-1.3936366663924056e-11,1.3936366663924056e-11,40,40,2.6721038415823424,2.682851349235142,0.0104540315449908,0.331403855632766,0.08246693883047494,1.2204039215683677e-7,4.9568491059506e-4,3.3167807679759705e-4,7.96615425828371e-6,5.813105995113863e-6,7.329870626231998e-6,-4.219656567224785e-5,0.005,0.005
Alkaline_phosphatase.all_ethnicities.both.dynamic_med_corrected.RAW,-1.5381514872139948e-11,1.5381514872139948e-11,-1.4657293173284544e-11,1.4657293173284544e-11,40,40,3.2304919620399275,3.241580843738384,0.0103176076381549,0.27799874421549,0.08189084893497392,1.2203845938346356e-7,4.9560571237437e-4,3.316735964220266e-4,6.061623165119004e-6,3.908479298943e-6,5.517596275832091e-6,-4.4008930170186e-5,0.005,0.005
Alkaline_phosphatase.all_ethnicities.both.original.IRNT,0.00194972628976276,0.00194972628976276,0.00195026040595129,0.00195026040595129,14,14,3.1394269641220927,3.1394161281700117,0.01041051606274249,0.327665624966453,0.08318885954293971,1.220118182828697e-7,4.9584573781137e-4,3.31618261113977e-4,7.104330284925242e-6,5.043767434417812e-6,0.00389857852278223,0.00384969278668557,0,0
Alkaline_phosphatase.all_ethnicities.both.original.RAW,-0.02111478098369532,0.02111478098369532,0.00397561462764937,0.00397561462764937,40,22,3.238759134777558,3.177481175916218,0.01050790050899877,0.326250115064212,0.0832203248121648,1.211307991784456e-7,4.9416520406736e-4,3.304196459429301e-4,5.5678957929655715e-6,3.4821277323029975e-6,8.721589065604496e-4,8.674737523498566e-4,0,0
Alkaline_phosphatase.all_ethnicities.both.original.with_med_correction.IRNT,-7.7529386165377e-4,7.7529386165377e-4,-7.7550624890246e-4,7.7550624890246e-4,8,8,3.104375186436291,3.1043633881054222,0.01107555554837804,0.366416580025972,0.08606195265421097,1.2202818510017506e-7,4.9605441545725e-4,3.316444402291166e-4,7.182662887614266e-6,5.136206197131621e-6,0.00453899584760275,0.00449018941233496,0,0
Alkaline_phosphatase.all_ethnicities.both.original.with_med_correction.RAW,-0.02180892631713225,0.02180892631713225,0.00171253425602254,0.00171253425602254,40,12,3.2364374400198916,3.1436079284664573,0.01101755582698182,0.36924129605698,0.0855974018887965,1.2166141255790826e-7,4.9534673610465e-4,3.311459267110684e-4,5.6071609136551515e-6,3.530685182689952e-6,8.10843081084367e-4,8.062386727230031e-4,0,0
Alkaline_phosphatase.all_ethnicities.both.static_med_corrected.IRNT,2.3921753534748288e-11,2.3921753534748288e-11,2.32049572938204e-11,2.32049572938204e-11,40,40,2.417311085021231,2.3916079608109224,0.01056536423745631,0.315822851922777,0.08180004783148183,1.220431739464462e-7,4.9596015064562e-4,3.316714297578654e-4,7.88862396602568e-6,5.735571851692713e-6,7.254127130857501e-6,-4.227231293577933e-5,0.005,0.005
Alkaline_phosphatase.all_ethnicities.both.static_med_corrected.RAW,2.430836353910353e-11,2.430836353910353e-11,2.4382265095773507e-11,2.4382265095773507e-11,40,40,2.798650470018768,2.7956953540408183,0.01110416938733791,0.271102938229931,0.08441262785297961,1.220458110693016e-7,4.9598757040509e-4,3.3167709812095434e-4,6.030664013988788e-6,3.877518628780943e-6,5.488623989981279e-6,-4.403790370787201e-5,0,0
Ankle_spacing_width_left.all_ethnicities.both.2nd_visit.original.RAW,-0.371674552981121,0.371674552981121,-0.0116521224106566,0.0116521224106566,40,17,2.950592114568298,3.4407859556968377,0.00863555302717233,0.270859811738674,0.07449997383008397,1.294505765462312e-7,5.202167971646e-4,3.4145346656981785e-4,1.8244233072750585e-4,1.4960437051514395e-5,0.00109196131645805,9.969525666975176e-4,0,0
