PHENOTYPE,PC1_ABS_COS_SIM,PC1_ABS_PEARSON,RANK_PC1_COS_SIM,RANK_PC1_PEARSON,EVEN_COS_SIM,EVEN_PEARSON,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN.DELTA.R2
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.original.RAW,0.00692630523706497,0.02939131595381555,22,40,3.1866850977513965,3.243704958449572,0.00951377593689259,0.292015869029304,0.0763808143290988,5.314325368682704e-6
Direct_bilirubin.all_ethnicities.both.original.RAW,0.02327756844630743,0.00733800266022708,40,39,3.3038608312199194,3.3123587792243256,0.00910182417119552,0.257104669808403,0.0766389894470618,9.52339623962878e-6
Eosinophill_count.all_ethnicities.both.original.RAW,0.01966826039793024,6.0223610715267e-4,37,6,3.286882901942606,2.8408244717969984,0.00887570827826038,0.288465571359702,0.07604446350334619,5.750986603578895e-6
Eosinophill_percentage.all_ethnicities.both.original.RAW,0.00535107435015928,0.02469113671125961,26,38,3.3459456127803926,2.925996921814163,0.00942840727152254,0.290341221430805,0.07739797432079694,5.75614658763178e-6
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.RAW,0.05326307046817516,0.11646363134600692,40,40,2.909886012977148,2.6901154412796475,0.01099540856714872,0.338625163760208,0.08233628523771945,3.778690376321503e-6
Forced_vital_capacity_FVC.all_ethnicities.both.original.RAW,0.05530013400510836,0.1234065668529894,40,40,2.9323087326945756,2.6447862375393294,0.0110690142815297,0.265147668137062,0.08513196199279349,4.000501850565108e-6
Gamma_glutamyltransferase.all_ethnicities.both.original.RAW,0.00674646401438745,0.01178494552598264,31,37,3.2296284342872945,3.0727653130242105,0.00945645677859425,0.274783570287621,0.0784061944691904,3.475958143539515e-6
Glucose.all_ethnicities.both.original.RAW,0.01841936597730975,0.01320361493207395,40,38,3.28147370993263,3.0753265863243224,0.01069924963360705,0.289704295423318,0.08287908406734837,3.488073000552927e-6
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.RAW,0.02648314672948638,0.08963455151156036,40,40,3.331125235063588,2.5846221414367325,0.00982153532306949,0.255186179814536,0.08162585014708802,4.50441698028603e-6
Haematocrit_percentage.all_ethnicities.both.original.RAW,0.02775332886386834,0.04023498500371526,40,40,3.27643296508461,3.0390065485051885,0.00793108243329946,0.330142154568871,0.07279386254035758,4.043347668680752e-6
Haemoglobin_concentration.all_ethnicities.both.original.RAW,0.03109242148833037,0.07773837957269034,40,40,3.264791940261422,2.782288589553359,0.00876700113200226,0.280802955221449,0.07673376093361702,4.086009299575366e-6
Hand_grip_strength_left.all_ethnicities.both.original.RAW,0.02374770152110887,0.00727033340701381,39,32,3.1532882434639937,2.973558882956441,0.01084410826510701,0.292539045715665,0.084530584309357,2.4370093191228293e-6
Hand_grip_strength_right.all_ethnicities.both.original.RAW,0.02610562747077392,0.01395239532264832,39,35,3.12862828863962,2.912211979040527,0.01084416888452883,0.272922046037397,0.08608263870583709,2.262621197290926e-6
HDL_cholesterol.all_ethnicities.both.original.RAW,0.02693622521882157,0.02165109291296678,40,37,3.1832962440519115,3.012017493928924,0.00989774590984518,0.25957884581015,0.08130857734758888,5.488228756789226e-6
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.RAW,0.11183005160671848,0.15495302629421948,39,40,2.8227582348621696,2.6174941200659276,0.00936991411841907,0.305387065553592,0.0787206755402779,9.095621066906869e-6
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.original.RAW,0.11241209768153376,0.15609059046110524,39,40,2.826978741859528,2.6106580978425784,0.00974170594555316,0.274165522160161,0.08062558349671749,9.704393408083156e-6
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.RAW,0.13257587186651693,0.15371370647388308,40,40,2.811730122592871,2.6123656199187244,0.00932772893515922,0.311048145338375,0.07838651080649914,9.209991722131106e-6
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.RAW,0.13535094445926607,0.15370805405756835,40,40,2.7633774025900446,2.610584184363528,0.00969011140642465,0.272471736332941,0.08038490808101516,9.716124874437073e-6
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.original.RAW,0.12010655211686729,0.09519425344631444,40,40,2.7105748803977687,2.8572351460168663,0.00985914390725846,0.270644314779357,0.08102134455224594,8.296278259406487e-6
Heel_bone_mineral_density_BMD.all_ethnicities.both.original.RAW,0.08326267851280439,0.09640451990497544,40,40,2.9713672394269492,2.8630653034057865,0.00988017739414946,0.2721990727434,0.08074323244650083,8.333972899871034e-6
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.original.RAW,0.08645749394088449,0.08423651855412477,40,40,2.957416722203813,2.938283754011271,0.0094159962233726,0.237330737488452,0.0805424469659514,7.610251541709245e-6
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.original.RAW,0.10636940752545523,0.13358303082727024,39,40,2.8350328101337308,2.785098757637006,0.00984556561460055,0.279815751702437,0.07769230064174791,9.079098467784652e-6
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.RAW,0.10734969688876209,0.13648956714456997,39,40,2.8254838255558563,2.6721808636939777,0.00925718249796713,0.325230700125014,0.07872251820449,8.722593390353417e-6
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.RAW,0.10774296122244928,0.1537138714355709,39,40,2.825368399740848,2.612338175585725,0.0093174811973362,0.310849379919632,0.07833094977251957,9.209715505498206e-6
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.original.RAW,0.10833519933534352,0.15370791614634635,39,40,2.8310452147544,2.6105720035020488,0.00967382328058976,0.275875910212283,0.0802080985522497,9.71611601062461e-6
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.RAW,0.08671109289590578,0.095194354642031,40,40,2.9593312353378183,2.857263923930617,0.00987350707950381,0.273810437829744,0.08119847455527415,8.296350883688075e-6
High_light_scatter_reticulocyte_count.all_ethnicities.both.original.RAW,0.00414259710280672,0.05512325022103582,20,40,3.3523457610233716,3.094372407871583,0.00850927092476662,0.263942761752324,0.07282588397108172,5.991055660424516e-6
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.original.RAW,6.1464738241615e-4,0.0329459923696188,5,40,3.308314857842053,3.109670020250433,0.00915349224248448,0.24761393004588,0.07653394309930629,3.841466637170398e-6
Hip_circumference.all_ethnicities.both.original.RAW,0.02115182983480069,0.0168025938097283,40,37,3.2579141878163305,3.04028240537218,0.01032566904735486,0.31106132743853,0.08316986000526307,6.483879722013822e-6
IGF_1.all_ethnicities.both.original.RAW,0.0165057384976297,0.02453745055462895,40,37,3.3554733739451907,3.0249451621196637,0.00945252533025068,0.263766312103788,0.078002799515431,7.310559114223625e-6
Immature_reticulocyte_fraction.all_ethnicities.both.original.RAW,0.00750200456978557,0.08923423511042762,31,40,3.333256265802424,2.80492883839557,0.01081305055972189,0.283572929871242,0.08362501792577713,5.6016309099207046e-6
Impedance_of_arm_left.all_ethnicities.both.original.RAW,0.02286574052691013,0.00215259590650005,40,12,3.2821491737917765,3.0991654402407085,0.01045331218771713,0.332538303710661,0.08160064190370674,3.896083082821633e-6
Impedance_of_arm_right.all_ethnicities.both.original.RAW,0.02129270388371008,0.0073077613957696,40,32,3.297245614259032,3.099724872837585,0.01016837745088815,0.287065621438711,0.08299624598896406,3.7363776274057514e-6
Impedance_of_leg_left.all_ethnicities.both.original.RAW,0.023339778629412,0.00519232166988817,40,24,3.256525295505015,3.098974492115332,0.01003639472280093,0.299234563745233,0.08246468323194843,5.813821862127311e-6
Impedance_of_leg_right.all_ethnicities.both.original.RAW,0.02399747552958638,0.00971067088494108,40,31,3.2582702319857564,3.130549807160251,0.01021295699413757,0.284473391640498,0.08532310151648281,5.678943728437691e-6
Impedance_of_whole_body.all_ethnicities.both.original.RAW,0.0231097783423948,0.00352817087302444,40,19,3.281127034734012,3.056357671832355,0.01145781525695484,0.296818393031997,0.08845488023358314,4.7481275866068096e-6
LDL_direct.all_ethnicities.both.original.RAW,0.03600919283582543,0.0558356245186007,40,40,3.2362955536008324,2.99663048663903,0.01102756603270869,0.29476856899943,0.08679279380389031,4.354301535849925e-6
Leg_fat_free_mass_left.all_ethnicities.both.original.RAW,0.02284483679736081,0.00241964139617484,39,20,3.2918067314611625,3.00293134164977,0.0116019266635305,0.284197846010604,0.09017077884973616,2.786247507380324e-6
Leg_fat_free_mass_right.all_ethnicities.both.original.RAW,0.0224827291588419,9.4868197714345e-4,39,7,3.2850625646206235,2.9454052778804516,0.01117667351670956,0.248263632106473,0.08886437454836371,2.7851824728752916e-6
Leg_fat_mass_left.all_ethnicities.both.original.RAW,0.00738060614808691,0.0335885792074958,33,39,3.2254815734683504,2.9942687172495224,0.01277012039783162,0.372919347394377,0.08891885982512683,4.389997820430924e-6
Leg_fat_mass_right.all_ethnicities.both.original.RAW,0.00784254715300922,0.03237642881092051,34,39,3.222557624888627,3.003288761628045,0.01300469232754891,0.348318897696688,0.08955670650700832,4.376755368906693e-6
Leg_fat_percentage_left.all_ethnicities.both.original.RAW,0.01468883836891529,0.02211286972540725,38,37,3.33518175140969,3.2748338299750555,0.00971398010872221,0.298358007116963,0.07826392089657187,1.737763173137452e-6
Leg_fat_percentage_right.all_ethnicities.both.original.RAW,0.01514870552747145,0.02054007545380679,37,37,3.32360656027851,3.2515437600545116,0.01073575637345083,0.302754760467994,0.08160931538126592,1.8162090039686165e-6
Leg_predicted_mass_left.all_ethnicities.both.original.RAW,0.02285543381094659,0.00249424084177228,39,19,3.2940716401813934,3.01472020636284,0.01150230484274788,0.282346378145239,0.0898510546501504,2.705050998530467e-6
Leg_predicted_mass_right.all_ethnicities.both.original.RAW,0.02250372426415181,0.00106974511352318,39,8,3.287470453828796,2.962663443026514,0.01124406249692509,0.243009409123359,0.08905586544509901,2.703463677589113e-6
Lifetime_number_of_sexual_partners.all_ethnicities.both.original.RAW,0.00402473949741174,8.7035370601341e-4,34,18,3.2425326767552756,3.2900572514988053,0.01063941257289649,0.275734504192896,0.0819768664881586,2.637786289058381e-6
Lipoprotein_A.all_ethnicities.both.original.RAW,0.05330619028392373,0.08201061471631615,40,40,3.0201293382095984,2.74467161451156,0.00987276055272198,0.292418332153245,0.08000300522162154,7.850040979740652e-6
Lymphocyte_count.all_ethnicities.both.original.RAW,0.00768301383512767,0.02628982882214741,37,39,3.389411892625177,3.0677253991277644,0.01163042061403844,0.299555803145522,0.08780939647567071,3.6567003111071662e-6
Lymphocyte_percentage.all_ethnicities.both.original.RAW,0.01590301044287401,0.15831650456498675,40,40,3.363813643552509,2.520248277061562,0.01197372216216826,0.29923510897174,0.08735034218626075,5.216084264472731e-6
Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.original.RAW,0.02784064155789411,0.11170903480918667,40,40,3.264788908688762,2.611099413589288,0.01120199480296027,0.324817482575223,0.08787593040439128,2.707417960431252e-6
Mean_corpuscular_haemoglobin.all_ethnicities.both.original.RAW,0.03488826287612857,0.17320210350416837,40,40,3.211991530668428,2.637261025186586,0.01163752194018234,0.325041766941481,0.08569459147591636,6.307578789235824e-6
Mean_corpuscular_volume.all_ethnicities.both.original.RAW,0.0316846879194154,0.1454464119391536,40,40,3.219693052266513,2.7040818723944247,0.0094077402878841,0.254455933795348,0.0782691002187545,6.65263049062087e-6
Mean_platelet_thrombocyte_volume.all_ethnicities.both.original.RAW,0.01887512174290254,0.04620695627631435,40,40,3.31069005595958,2.8876680179685583,0.01035093744744742,0.265842828766119,0.08383147245714577,9.010526024155058e-6
Mean_reticulocyte_volume.all_ethnicities.both.original.RAW,0.02075566955573378,0.07546940177124922,40,40,3.276235661841965,2.874663440891083,0.01029463077169379,0.313576352753689,0.079976564602414,6.6235578204988654e-6
Mean_sphered_cell_volume.all_ethnicities.both.original.RAW,0.0240275413597142,0.03585258550808817,40,37,3.257475309261237,2.880256419406548,0.01137251420599974,0.277146549635033,0.0852765727581666,6.419292662186715e-6
Mean_time_to_correctly_identify_matches.all_ethnicities.both.original.RAW,0.01286777992976198,0.0945417150940477,37,40,3.3046641407731356,2.904888040502279,0.0078583709169064,0.223762322373526,0.07084767836744586,2.4009504278471594e-6
Microalbumin_in_urine.all_ethnicities.both.original.RAW,0.03586653197247045,0.02814574893133115,40,40,3.0010715667094545,3.1101270200264612,0.01217691402199518,0.296332685599508,0.08965041986537291,6.967821007323842e-6
Monocyte_count.all_ethnicities.both.original.RAW,0.0442711248843994,0.04608024676178799,40,40,3.119392259507741,2.975223150805317,0.00884417997068195,0.28726937591096,0.07684539610883029,4.650753861835943e-6
Monocyte_percentage.all_ethnicities.both.original.RAW,0.03025407253276224,0.0203369344919199,40,39,3.1849737008537575,3.0031044152123094,0.0085961509448122,0.24766349261237,0.07408979205841049,5.049566854285759e-6
Neuroticism_score.all_ethnicities.both.original.RAW,0.0579889404176991,0.0156644483613208,40,38,3.029713802391867,3.266939697018734,0.00857568031786704,0.259905079667818,0.07350891340258264,4.890596325121677e-6
Neutrophill_count.all_ethnicities.both.original.RAW,0.0559578281869009,0.10237984506427862,40,40,3.0402778750115824,2.7717550486367917,0.00850204827868015,0.263335643505352,0.07436352652471487,5.950009032184081e-6
Neutrophill_percentage.all_ethnicities.both.original.RAW,0.0436774306415356,0.13916654395767472,40,40,3.1181249170446588,2.6039922082495655,0.01107818164667732,0.375519114195877,0.08547667699234016,4.925687133092854e-6
Nucleated_red_blood_cell_count.all_ethnicities.both.original.RAW,0.05636698206244513,0.05815466911475354,40,40,2.5887687747428374,2.5360769988882943,0.0118101298731109,0.323978669028937,0.08678266928832118,2.0011946738679107e-6
Nucleated_red_blood_cell_percentage.all_ethnicities.both.original.RAW,0.08213410872140761,0.08435053122997457,40,40,2.5251853058643574,2.472198184545519,0.01183456172108672,0.323995294109881,0.08682230276159678,1.9742976499845938e-6
Number_of_children_fathered.all_ethnicities.both.original.RAW,0.03995052688506308,0.10754762251404676,39,40,3.1485104856460824,2.7411957418443533,0.00873334098645706,0.223845776234051,0.07785124016343814,4.848164621290563e-6
Number_of_live_births.all_ethnicities.both.original.RAW,0.0140060476051831,0.04615715160604192,38,40,3.3019896112974516,3.0196897528801356,0.00986183108461469,0.299940379162334,0.07720873592971354,5.427664586443726e-6
Number_of_self_reported_cancers.all_ethnicities.both.original.RAW,0.03384455156333833,0.0290452742195769,40,40,2.930399623295352,2.826323033720429,0.00881353822635601,0.270612332483306,0.07573454421342544,2.0326124433346637e-6
Oestradiol.all_ethnicities.both.original.RAW,6.8371654966522e-4,0.02411546411444552,9,40,3.2936736732903693,3.1606618791344445,0.01029392651990165,0.28197717091171,0.08373347461471517,2.122039459623304e-6
Peak_expiratory_flow_PEF.all_ethnicities.both.original.RAW,0.04084167267926312,0.06012380273032519,40,40,3.018498404422369,2.9675927286611223,0.0105351898217871,0.408985629975527,0.0834441298350798,2.877025648329034e-6
Phosphate.all_ethnicities.both.original.RAW,0.02200892702794689,7.9442910768551e-4,40,6,3.296905225084719,3.059355456716531,0.00954600585037206,0.288727447862141,0.07897831847717693,5.429909346765793e-6
Platelet_count.all_ethnicities.both.original.RAW,0.03220715915293141,0.03678089571117328,40,40,3.219915124892236,2.9509526363483007,0.0085783720719738,0.249864479911633,0.07562442145790416,7.795481759283185e-6
Platelet_crit.all_ethnicities.both.original.RAW,0.02812362316054061,0.02074629080272658,40,39,3.2458745748125115,3.0356460705285264,0.01020556587405541,0.274617535425872,0.08347907180002072,6.404538781909497e-6
Platelet_distribution_width.all_ethnicities.both.original.RAW,0.0254308320888338,0.03382740747312093,40,39,3.2645568067204147,3.114082341538366,0.01109655093091504,0.304313834595129,0.08511149558408733,6.411412838417535e-6
Potassium_in_urine.all_ethnicities.both.original.RAW,0.03337537859415543,0.02821864314640232,40,39,3.127667024491263,2.9016371116944737,0.0102303306851792,0.293321745479241,0.08253979340598086,2.946409252944232e-6
Pulse_rate_automated_reading.all_ethnicities.both.original.RAW,0.00937333636698548,0.01744124976839748,28,39,3.2227290847810783,3.2764964121281963,0.01087498944014409,0.296353401213593,0.08169918888745059,6.798367772307967e-6
Red_blood_cell_erythrocyte_count.all_ethnicities.both.original.RAW,0.01981539662361592,0.04850842261677182,40,39,3.328538993680212,2.9699982397154376,0.0095845607242816,0.302850522254041,0.077762416714561,5.330572681205847e-6
Red_blood_cell_erythrocyte_distribution_width.all_ethnicities.both.original.RAW,0.01669364816921095,0.10435309830374896,40,40,3.313292037211942,2.502500289584862,0.0091848827278308,0.253591939643964,0.07661440463142793,5.91943318795779e-6
Reticulocyte_count.all_ethnicities.both.original.RAW,0.01318384554489784,0.0169154344793147,40,40,3.3415039240705924,3.32829902266802,0.0078419316633936,0.262276755881454,0.06874334849212543,3.7374015064411265e-6
Reticulocyte_percentage.all_ethnicities.both.original.RAW,0.01596400735893961,0.01100057243468534,40,40,3.307061835522008,3.3334144646071775,0.00894732670610321,0.272749631977088,0.0739690685265542,3.3380606036666986e-6
Rheumatoid_factor.all_ethnicities.both.original.RAW,0.01984043822846881,0.00143243934099978,40,25,3.328708108398032,3.3929957450676587,0.01022828510008396,0.27743304496855,0.08130965435503536,3.336634404096364e-6
SHBG.all_ethnicities.both.original.RAW,0.03397966952263378,0.0307382591917308,40,38,3.0651247479839596,3.0362180937779355,0.01025438261953143,0.275482734673828,0.0812324191136901,4.218956509982608e-6
Sitting_height.all_ethnicities.both.original.RAW,0.02984404155755124,0.12466423976866237,40,40,3.2125935744095773,2.650049333480672,0.00936664024139397,0.282983557564812,0.07632077254273635,5.22084998516581e-6
Sleep_duration.all_ethnicities.both.original.RAW,0.03574338918969144,0.0759196573999984,40,40,3.2164562721550105,2.8014478729359724,0.01133673867170242,0.26132207592613,0.08899973157906482,3.2348911778983663e-6
Sodium_in_urine.all_ethnicities.both.original.RAW,0.02925602145956978,0.09863480790800122,40,40,3.1866913390957667,2.835948660382232,0.00961876734550326,0.382988231815399,0.08046189857366551,3.4524287398501885e-6
Speed_of_sound_through_heel_left.all_ethnicities.both.original.RAW,0.07838471656196455,0.15898782333983824,38,40,2.8612009231432864,2.5624644877360083,0.00965213448209903,0.252349463620338,0.08267982660248949,9.235682893612984e-6
Speed_of_sound_through_heel_right.all_ethnicities.both.original.RAW,0.07940296184613009,0.15708191091917553,38,40,2.8529806600402217,2.624974010981328,0.00996780041018994,0.315482446567755,0.08020149496012502,1.0200911335106476e-5
Speed_of_sound_through_heel.all_ethnicities.both.original.RAW,0.1079290591336669,0.0971276952137854,40,40,2.8796403335947987,2.812592413986248,0.00968942853122851,0.315106032599635,0.07958912507583547,8.370770579933795e-6
Spherical_equivalent.all_ethnicities.both.original.RAW,0.03564939903179094,0.0203705658419211,39,36,3.2055373014784454,3.283230920980387,0.00965224416363257,0.236812504305376,0.08053636113957771,1.419589559842338e-5
Standing_height.all_ethnicities.both.original.RAW,0.02607768724157582,0.0528445541810648,40,38,3.239655147453844,2.9064341363765873,0.00973146798396655,0.244997398022675,0.07960710758555707,6.351340704591202e-6
Systolic_blood_pressure_automated_reading.all_ethnicities.both.original.RAW,0.0122397529497427,0.01300170710046323,29,34,3.193405604000781,3.211469014149563,0.01130500079888582,0.314664389667756,0.08504309288013255,5.531471288428014e-6
Testosterone.all_ethnicities.both.original.RAW,0.02034077744900852,0.00472242091229122,40,27,3.3719517430067336,3.3316618121775874,0.01116657075635101,0.349456134831452,0.08402838174403483,1.0725904175945544e-6
Total_bilirubin.all_ethnicities.both.original.RAW,0.02453798101044649,0.00729672836826122,40,33,3.2890275713100663,3.3058020195895272,0.00890031002164861,0.323395636189627,0.07382199495633554,1.158946869780908e-5
Total_protein.all_ethnicities.both.original.RAW,0.01400579051124679,0.13961615944305253,40,40,3.3160461376044865,2.7663867804068887,0.00890372510097699,0.262968972499097,0.07679231651503701,8.022170563535408e-6
Triglycerides.all_ethnicities.both.original.RAW,0.05022068357810819,0.05932852408489603,40,40,3.209906850702888,2.9968008729940716,0.00937678671669507,0.271173647343589,0.0778800740088418,5.480397066361109e-6
Trunk_fat_free_mass.all_ethnicities.both.original.RAW,0.02604457559702107,0.0182022607253664,39,38,3.210005628962263,2.84152701632517,0.01172589756616884,0.275922544820068,0.08987832432352301,2.6850406665834825e-6
Trunk_fat_mass.all_ethnicities.both.original.RAW,0.01553131688945728,0.01673938862095611,38,36,3.2283734401726787,3.184143681380565,0.01101878230423549,0.276417137378061,0.08563784497382702,6.480620469064696e-6
